# 🚨
# 🚨 Source: https://wolfberg.net/what/TWLdefs.exe::TWLdefs.txt
# 🚨
	TWL98 (2006-04-15)
slimy	SLIMY adj SLIMIER, SLIMIEST resembling slime
sling slings slinging slung	SLING v SLUNG, SLINGING, SLINGS to throw with a sudden motion
slinger slingers	SLINGER n pl. -S one that slings
slink slinks slinking slinked slunk	SLINK v SLUNK or SLANK or SLINKED, SLINKING, SLINKS to move stealthily
slinky slinkily slinkiest slinkier	SLINKY adj SLINKIER, SLINKIEST stealthy SLINKILY adv
slip slips slipping slipt slipped	SLIP v SLIPPED or SLIPT, SLIPPING, SLIPS to slide suddenly and accidentally
slipcase slipcases	SLIPCASE n pl. -S a protective box for a book
slipe slipes sliping sliped	SLIPE v SLIPED, SLIPING, SLIPES to peel
slipform slipforms slipforming slipformed	SLIPFORM v -ED, -ING, -S to construct with the use of a mold in which concrete is placed to set
slipknot slipknots	SLIPKNOT n pl. -S a type of knot
slipless	SLIPLESS adj free from errors
slipout slipouts	SLIPOUT n pl. -S an insert in a newspaper
slipover slipovers	SLIPOVER n pl. -S a pullover
slippage slippages	SLIPPAGE n pl. -S a falling off from a standard or level
slipped	SLIPPED a past tense of slip
slipper slippers	SLIPPER n pl. -S a light, low shoe
slippery slipperiest slipperier	SLIPPERY adj -PERIER, -PERIEST causing or tending to cause slipping
slipping	SLIPPING present participle of slip
slippy slippiest slippier	SLIPPY adj -PIER, -PIEST slippery
slipshod	SLIPSHOD adj carelessly done or made
slipslop slipslops	SLIPSLOP n pl. -S watery food
slipsole slipsoles	SLIPSOLE n pl. -S a thin insole
slipt	SLIPT a past tense of slip
slipup slipups	SLIPUP n pl. -S a mistake
slipware slipwares	SLIPWARE n pl. -S a type of pottery
slipway slipways	SLIPWAY n pl. -WAYS an area sloping toward the water in a shipyard
slit slits slitting slitted	SLIT v SLITTED, SLITTING, SLITS to make a slit (a long, narrow cut) in
slither slithers slithering slithered	SLITHER v -ED, -ING, -S to slide from side to side
slithery	SLITHERY adj slippery
slitless	SLITLESS adj having no slits
slitted	SLITTED past tense of slit
slitter slitters	SLITTER n pl. -S one that slits
slitting	SLITTING present participle of slit
sliver slivers slivering slivered	SLIVER v -ED, -ING, -S to cut into long, thin pieces
sliverer sliverers	SLIVERER n pl. -S one that slivers
slivovic slivovices	SLIVOVIC n pl. -ES a plum brandy
slob slobs	SLOB n pl. -S a slovenly or boorish person
slobber slobbers slobbering slobbered	SLOBBER v -ED, -ING, -S to drool
slobbery	SLOBBERY adj slobbering
slobbish	SLOBBISH adj resembling a slob
slobby slobbiest slobbier	SLOBBY adj SLOBBIER, SLOBBIEST characteristic of a slob
sloe sloes	SLOE n pl. -S a plumlike fruit
slog slogs slogging slogged	SLOG v SLOGGED, SLOGGING, SLOGS to plod
slogan slogans	SLOGAN n pl. -S a motto adopted by a group
slogger sloggers	SLOGGER n pl. -S one that slogs
slogging	SLOGGING present participle of slog
sloid sloids	SLOID n pl. -S sloyd
slojd slojds	SLOJD n pl. -S sloyd
sloop sloops	SLOOP n pl. -S a type of sailing vessel
slop slops slopping slopped	SLOP v SLOPPED, SLOPPING, SLOPS to spill or splash
slope slopes sloping sloped	SLOPE v SLOPED, SLOPING, SLOPES to slant
sloper slopers	SLOPER n pl. -S one that slopes
slopped	SLOPPED past tense of slop
slopping	SLOPPING present participle of slop
sloppy sloppily sloppiest sloppier	SLOPPY adj -PIER, -PIEST messy SLOPPILY adv
slopwork slopworks	SLOPWORK n pl. -S the manufacture of cheap clothing
slosh sloshes sloshing sloshed	SLOSH v -ED, -ING, -ES to move with a splashing motion
sloshy sloshiest sloshier	SLOSHY adj SLOSHIER, SLOSHIEST slushy
slot slots slotting slotted	SLOT v SLOTTED, SLOTTING, SLOTS to cut a long, narrow opening in
slotback slotbacks	SLOTBACK n pl. -S a type of football player
sloth sloths	SLOTH n pl. -S a slow-moving arboreal mammal
slothful	SLOTHFUL adj sluggish
slotted	SLOTTED past tense of slot
slotting	SLOTTING present participle of slot
slouch slouches slouching slouched	SLOUCH v -ED, -ING, -ES to sit, stand, or move with a drooping posture
sloucher slouchers	SLOUCHER n pl. -S one that slouches
slouchy slouchiest slouchier	SLOUCHY adj SLOUCHIER, SLOUCHIEST slouching
slough sloughs sloughing sloughed	SLOUGH v -ED, -ING, -S to cast off
sloughy sloughiest sloughier	SLOUGHY adj SLOUGHIER, SLOUGHIEST miry
sloven slovens	SLOVEN n pl. -S a slovenly person
slovenly slovenliest slovenlier	SLOVENLY adj -LIER, -LIEST habitually untidy or unclean
slow slowest slower	SLOW adj SLOWER, SLOWEST moving with little speed
slow slows slowing slowed	SLOW v -ED, -ING, -S to lessen the speed of
slowdown slowdowns	SLOWDOWN n pl. -S a lessening of pace
slowish	SLOWISH adj somewhat slow
slowly	SLOWLY adv in a slow manner
slowness slownesses	SLOWNESS n pl. -ES the state of being slow
slowpoke slowpokes	SLOWPOKE n pl. -S a slow individual
slowworm slowworms	SLOWWORM n pl. -S a European lizard having no legs
sloyd sloyds	SLOYD n pl. -S a Swedish system of manual training
slub slubs slubbing slubbed	SLUB v SLUBBED, SLUBBING, SLUBS to draw out and twist slightly
slubber slubbers slubbering slubbered	SLUBBER v -ED, -ING, -S to stain or dirty
slubbing slubbings	SLUBBING n pl. -S a slightly twisted roll of textile fibers
sludge sludges	SLUDGE n pl. -S a muddy deposit
sludgy sludgiest sludgier	SLUDGY adj SLUDGIER, SLUDGIEST covered with sludge
slue slues sluing slued	SLUE v SLUED, SLUING, SLUES to cause to move sideways
sluff sluffs sluffing sluffed	SLUFF v -ED, -ING, -S to discard a card or cards
slug slugs slugging slugged	SLUG v SLUGGED, SLUGGING, SLUGS to strike heavily
slugabed slugabeds	SLUGABED n pl. -S one inclined to stay in bed out of laziness
slugfest slugfests	SLUGFEST n pl. -S a vigorous fight
sluggard sluggards	SLUGGARD n pl. -S an habitually lazy person
slugged	SLUGGED past tense of slug
slugger sluggers	SLUGGER n pl. -S one that slugs
slugging	SLUGGING present participle of slug
sluggish	SLUGGISH adj displaying little movement or activity
sluice sluices sluicing sluiced	SLUICE v SLUICED, SLUICING, SLUICES to wash with a sudden flow of water
sluicy	SLUICY adj falling in streams
sluing	SLUING present participle of slue
slum slums slumming slummed	SLUM v SLUMMED, SLUMMING, SLUMS to visit slums (squalid urban areas)
slumber slumbers slumbering slumbered	SLUMBER v -ED, -ING, -S to sleep
slumbery	SLUMBERY adj sleepy
slumgum slumgums	SLUMGUM n pl. -S the residue remaining after honey is extracted from a honeycomb
slumism slumisms	SLUMISM n pl. -S the prevalence of slums
slumlord slumlords	SLUMLORD n pl. -S a landlord of slum property
slummed	SLUMMED past tense of slum
slummer slummers	SLUMMER n pl. -S one that slums
slumming	SLUMMING present participle of slum
slummy slummiest slummier	SLUMMY adj -MIER, -MIEST resembling a slum
slump slumps slumping slumped	SLUMP v -ED, -ING, -S to fall or sink suddenly
slung	SLUNG past tense of sling
slunk	SLUNK a past tense of slink
slur slurs slurring slurred	SLUR v SLURRED, SLURRING, SLURS to pass over lightly or carelessly
slurb slurban slurbs	SLURB n pl. -S a poorly planned suburban area SLURBAN adj
slurp slurps slurping slurped	SLURP v -ED, -ING, -S to eat or drink noisily
slurred	SLURRED past tense of slur
slurring	SLURRING present participle of slur
slurry slurries slurrying slurried	SLURRY v -RIED, -RYING, -RIES to convert into a type of watery mixture
slush slushes slushing slushed	SLUSH v -ED, -ING, -ES to splash with slush (partly melted snow)
slushy slushily slushiest slushier	SLUSHY adj SLUSHIER, SLUSHIEST resembling slush SLUSHILY adv
slut sluttish sluts	SLUT n pl. -S a slovenly woman SLUTTISH adj
slutty sluttiest sluttier	SLUTTY adj SLUTTIER, SLUTTIEST characteristic of a slut
sly slyly slyest slyer	SLY adj SLIER, SLIEST or SLYER, SLYEST crafty SLYLY adv
slyboots	SLYBOOTS n pl. SLYBOOTS a sly person
slyness slynesses	SLYNESS n pl. -ES the quality or state of being sly
slype slypes	SLYPE n pl. -S a narrow passage in an English cathedral
smack smacks smacking smacked	SMACK v -ED, -ING, -S to strike sharply
smacker smackers	SMACKER n pl. -S one that smacks
small smallest smaller	SMALL adj SMALLER, SMALLEST of limited size or quantity
small smalls	SMALL n pl. -S a small part
smallage smallages	SMALLAGE n pl. -S a wild celery
smallish	SMALLISH adj somewhat small
smallpox smallpoxes	SMALLPOX n pl. -ES a virus disease
smalt smalts	SMALT n pl. -S a blue pigment
smalti	SMALTI a pl. of smalto
smaltine smaltines	SMALTINE n pl. -S smaltite
smaltite smaltites	SMALTITE n pl. -S a mineral
smalto smaltos	SMALTO n pl. -TOS or -TI colored glass used in mosaics
smaragd smaragds	SMARAGD n pl. -S an emerald
smaragde smaragdes	SMARAGDE n pl. -S smaragd
smarm smarms	SMARM n pl. -S trite sentimentality
smarmy smarmily smarmiest smarmier	SMARMY adj SMARMIER, SMARMIEST marked by excessive flattery SMARMILY adv
smart smartest smarter	SMART adj SMARTER, SMARTEST characterized by mental acuity
smart smarts smarting smarted	SMART v -ED, -ING, -S to cause a sharp, stinging pain
smartass smartasses	SMARTASS n pl. -ES a smarty
smarten smartens smartening smartened	SMARTEN v -ED, -ING, -S to improve in appearance
smartie smarties	SMARTIE n pl. -S smarty
smartly	SMARTLY adv in a smart manner
smarty	SMARTY n pl. SMARTIES an obnoxiously conceited person
smash smashes smashing smashed	SMASH v -ED, -ING, -ES to shatter violently
smasher smashers	SMASHER n pl. -S one that smashes
smashup smashups	SMASHUP n pl. -S a collision of motor vehicles
smatter smatters smattering smattered	SMATTER v -ED, -ING, -S to speak with little knowledge
smaze smazes	SMAZE n pl. -S an atmospheric mixture of smoke and haze
smear smears smearing smeared	SMEAR v -ED, -ING, -S to spread with a sticky, greasy, or dirty substance
smearer smearers	SMEARER n pl. -S one that smears
smeary smeariest smearier	SMEARY adj SMEARIER, SMEARIEST smeared
smectic	SMECTIC adj pertaining to a phase of a liquid crystal
smectite smectites	SMECTITE n pl. -S a clayey mineral
smeddum smeddums	SMEDDUM n pl. -S ground malt powder
smeek smeeks smeeking smeeked	SMEEK v -ED, -ING, -S to smoke
smegma smegmas	SMEGMA n pl. -S sebum
smell smells smelling smelt smelled	SMELL v SMELLED or SMELT, SMELLING, SMELLS to perceive by means of the olfactory nerves
smeller smellers	SMELLER n pl. -S one that smells
smelly smelliest smellier	SMELLY adj SMELLIER, SMELLIEST having an unpleasant odor
smelt smelts smelting smelted	SMELT v -ED, -ING, -S to melt or fuse, as ores
smelter smelters	SMELTER n pl. -S one that smelts
smeltery smelteries	SMELTERY n pl. -ERIES a place for smelting
smerk smerks smerking smerked	SMERK v -ED, -ING, -S to smirk
smew smews	SMEW n pl. -S a Eurasian duck
smidge smidges	SMIDGE n pl. -S a smidgen
smidgen smidgens	SMIDGEN n pl. -S a very small amount
smidgeon smidgeons	SMIDGEON n pl. -S smidgen
smidgin smidgins	SMIDGIN n pl. -S smidgen
smilax smilaxes	SMILAX n pl. -ES a twining plant
smile smiles smiling smiled	SMILE v SMILED, SMILING, SMILES to upturn the corners of the mouth in pleasure
smiler smilers	SMILER n pl. -S one that smiles
smiley	SMILEY adj exhibiting a smile (a facial expression)
smirch smirches smirching smirched	SMIRCH v -ED, -ING, -ES to soil
smirk smirks smirking smirked	SMIRK v -ED, -ING, -S to smile in an affected or smug manner
smirker smirkers	SMIRKER n pl. -S one that smirks
smirky smirkiest smirkier	SMIRKY adj SMIRKIER, SMIRKIEST smirking
smite smites smiting smitten smit smote	SMITE v SMOTE, SMIT or SMITTEN, SMITING, SMITES to strike heavily
smiter smiters	SMITER n pl. -S one that smites
smith smiths	SMITH n pl. -S a worker in metals
smithers	SMITHERS n/pl small fragments
smithery smitheries	SMITHERY n pl. -ERIES the trade of a smith
smithy smithies	SMITHY n pl. SMITHIES the workshop of a smith
smiting	SMITING present participle of smite
smitten	SMITTEN a past participle of smite
smock smocks smocking smocked	SMOCK v -ED, -ING, -S to furnish with a smock (a loose outer garment)
smocking smockings	SMOCKING n pl. -S a type of embroidery
smog smogless smogs	SMOG n pl. -S an atmospheric mixture of smoke and fog SMOGLESS adj
smoggy smoggiest smoggier	SMOGGY adj -GIER, -GIEST filled with smog
smoke smokable smokes smoking smoked	SMOKE v SMOKED, SMOKING, SMOKES to emit smoke (the gaseous product of burning materials) SMOKABLE adj
smokepot smokepots	SMOKEPOT n pl. -S a container for giving off smoke
smoker smokers	SMOKER n pl. -S one that smokes
smokey smokiest smokier	SMOKEY adj SMOKIER, SMOKIEST smoky
smoking	SMOKING present participle of smoke
smoky smokily	SMOKY adj SMOKIER, SMOKIEST filled with smoke SMOKILY adv
smolder smolders smoldering smoldered	SMOLDER v -ED, -ING, -S to burn with no flame
smolt smolts	SMOLT n pl. -S a young salmon
smooch smooches smooching smooched	SMOOCH v -ED, -ING, -ES to kiss
smoochy	SMOOCHY adj smudgy
smooth smoothest smoother	SMOOTH adj SMOOTHER, SMOOTHEST having a surface that is free from irregularities
smooth smooths smoothing smoothed smoothes	SMOOTH v -ED, -ING, -S or -ES to make smooth
smoothen smoothens smoothening smoothened	SMOOTHEN v -ED, -ING, -S to smooth
smoother smoothers	SMOOTHER n pl. -S one that smooths
smoothie smoothies	SMOOTHIE n pl. -S a person with polished manners
smoothly	SMOOTHLY adv in a smooth manner
smoothy	SMOOTHY n pl. SMOOTHIES smoothie
smote	SMOTE past tense of smite
smother smothers smothering smothered	SMOTHER v -ED, -ING, -S to prevent from breathing
smothery	SMOTHERY adj tending to smother
smoulder smoulders smouldering smouldered	SMOULDER v -ED, -ING, -S to smolder
smudge smudges smudging smudged	SMUDGE v SMUDGED, SMUDGING, SMUDGES to smear or dirty
smudgy smudgily smudgiest smudgier	SMUDGY adj SMUDGIER, SMUDGIEST smudged SMUDGILY adv
smug smuggest smugger	SMUG adj SMUGGER, SMUGGEST highly self-satisfied
smuggle smuggles smuggling smuggled	SMUGGLE v -GLED, -GLING, -GLES to import or export illicitly
smuggler smugglers	SMUGGLER n pl. -S one that smuggles
smugly	SMUGLY adv in a smug manner
smugness smugnesses	SMUGNESS n pl. -ES the quality or state of being smug
smut smuts smutting smutted	SMUT v SMUTTED, SMUTTING, SMUTS to soil
smutch smutches smutching smutched	SMUTCH v -ED, -ING, -ES to smudge
smutchy smutchiest smutchier	SMUTCHY adj SMUTCHIER, SMUTCHIEST smudgy
smutted	SMUTTED past tense of smut
smutting	SMUTTING present participle of smut
smutty smuttily smuttiest smuttier	SMUTTY adj -TIER, -TIEST obscene SMUTTILY adv
snack snacks snacking snacked	SNACK v -ED, -ING, -S to eat a light meal
snaffle snaffles snaffling snaffled	SNAFFLE v -FLED, -FLING, -FLES to obtain by devious means
snafu snafus snafuing snafued	SNAFU v -ED, -ING, -S to bring into a state of confusion
snag snags snagging snagged	SNAG v SNAGGED, SNAGGING, SNAGS to catch on a snag (a jagged protuberance)
snaggy snaggiest snaggier	SNAGGY adj -GIER, -GIEST full of snags
snaglike	SNAGLIKE adj resembling a snag
snail snails snailing snailed	SNAIL v -ED, -ING, -S to move slowly
snake snakes snaking snaked	SNAKE v SNAKED, SNAKING, SNAKES to move like a snake (a limbless reptile)
snakebit	SNAKEBIT adj unlucky
snakey snakiest snakier	SNAKEY adj SNAKIER, SNAKIEST snaky
snaky snakily	SNAKY adj SNAKIER, SNAKIEST resembling a snake SNAKILY adv
snap snaps snapping snapped	SNAP v SNAPPED, SNAPPING, SNAPS to make a sharp cracking sound
snapback snapbacks	SNAPBACK n pl. -S a sudden rebound or recovery
snapless	SNAPLESS adj lacking a snap (a type of fastening device)
snapped	SNAPPED past tense of snap
snapper snappers	SNAPPER n pl. -S one that snaps
snappier	SNAPPIER comparative of snappy
snappiest	SNAPPIEST superlative of snappy
snappily	SNAPPILY adv in a snappy manner
snapping	SNAPPING present participle of snap
snappish	SNAPPISH adj tending to speak in an impatient or irritable manner
snappy	SNAPPY adj -PIER, -PIEST snappish
snapshot snapshots snapshotting snapshotted	SNAPSHOT v -SHOTTED, -SHOTTING, -SHOTS to photograph informally and quickly
snapweed snapweeds	SNAPWEED n pl. -S a flowering plant
snare snares snaring snared	SNARE v SNARED, SNARING, SNARES to trap
snarer snarers	SNARER n pl. -S one that snares
snark snarks	SNARK n pl. -S an imaginary animal
snarky snarkiest snarkier	SNARKY adj SNARKIER, SNARKIEST snappish
snarl snarls snarling snarled	SNARL v -ED, -ING, -S to growl viciously
snarler snarlers	SNARLER n pl. -S one that snarls
snarly snarliest snarlier	SNARLY adj SNARLIER, SNARLIEST tangled
snash snashes	SNASH n pl. -ES abusive language
snatch snatches snatching snatched	SNATCH v -ED, -ING, -ES to seize suddenly
snatcher snatchers	SNATCHER n pl. -S one that snatches
snatchy snatchiest snatchier	SNATCHY adj SNATCHIER, SNATCHIEST occurring irregularly
snath snaths	SNATH n pl. -S the handle of a scythe
snathe snathes	SNATHE n pl. -S snath
snaw snaws snawing snawed	SNAW v -ED, -ING, -S to snow
snazzy snazziest snazzier	SNAZZY adj -ZIER, -ZIEST very stylish
sneak sneaks sneaking snuck sneaked	SNEAK v SNEAKED or SNUCK, SNEAKING, SNEAKS to move stealthily
sneaker sneakers	SNEAKER n pl. -S one that sneaks
sneaky sneakily sneakiest sneakier	SNEAKY adj SNEAKIER, SNEAKIEST deceitful SNEAKILY adv
sneap sneaps sneaping sneaped	SNEAP v -ED, -ING, -S to chide
sneck snecks	SNECK n pl. -S a latch
sned sneds snedding snedded	SNED v SNEDDED, SNEDDING, SNEDS to prune
sneer sneers sneering sneered	SNEER v -ED, -ING, -S to curl the lip in contempt
sneerer sneerers	SNEERER n pl. -S one that sneers
sneerful	SNEERFUL adj given to sneering
sneesh sneeshes	SNEESH n pl. -ES snuff
sneeze sneezes sneezing sneezed	SNEEZE v SNEEZED, SNEEZING, SNEEZES to make a sudden, involuntary expiration of breath
sneezer sneezers	SNEEZER n pl. -S one that sneezes
sneezy sneeziest sneezier	SNEEZY adj SNEEZIER, SNEEZIEST tending to sneeze
snell snellest sneller	SNELL adj SNELLER, SNELLEST keen
snell snells snelling snelled	SNELL v -ED, -ING, -S to attach a short line to a fishhook
snib snibs snibbing snibbed	SNIB v SNIBBED, SNIBBING, SNIBS to latch
snick snicks snicking snicked	SNICK v -ED, -ING, -S to nick
snicker snickers snickering snickered	SNICKER v -ED, -ING, -S to utter a partly stifled laugh
snickery	SNICKERY adj tending to snicker
snide snidely snidest snider	SNIDE adj SNIDER, SNIDEST maliciously derogatory SNIDELY adv
sniff sniffs sniffing sniffed	SNIFF v -ED, -ING, -S to inhale audibly through the nose
sniffer sniffers	SNIFFER n pl. -S one that sniffs
sniffier	SNIFFIER comparative of sniffy
sniffiest	SNIFFIEST superlative of sniffy
sniffily	SNIFFILY adv in a sniffy manner
sniffish	SNIFFISH adj haughty
sniffle sniffles sniffling sniffled	SNIFFLE v -FLED, -FLING, -FLES to sniff repeatedly
sniffler snifflers	SNIFFLER n pl. -S one that sniffles
sniffy	SNIFFY adj -FIER, -FIEST sniffish
snifter snifters	SNIFTER n pl. -S a pear-shaped liquor glass
snigger sniggers sniggering sniggered	SNIGGER v -ED, -ING, -S to snicker
sniggle sniggles sniggling sniggled	SNIGGLE v -GLED, -GLING, -GLES to fish for eels
sniggler snigglers	SNIGGLER n pl. -S one that sniggles
snip snips snipping snipped	SNIP v SNIPPED, SNIPPING, SNIPS to cut with a short, quick stroke
snipe snipes sniping sniped	SNIPE v SNIPED, SNIPING, SNIPES to shoot at individuals from a concealed place
sniper snipers	SNIPER n pl. -S one that snipes
snipped	SNIPPED past tense of snip
snipper snippers	SNIPPER n pl. -S one that snips
snippet snippets	SNIPPET n pl. -S a small piece snipped off
snippety snippetiest snippetier	SNIPPETY adj -PETIER, -PETIEST snippy
snipping	SNIPPING present participle of snip
snippy snippily snippiest snippier	SNIPPY adj -PIER, -PIEST snappish SNIPPILY adv
snit snits	SNIT n pl. -S a state of agitation
snitch snitches snitching snitched	SNITCH v -ED, -ING, -ES to tattle
snitcher snitchers	SNITCHER n pl. -S one that snitches
snivel snivels snivelling snivelled sniveling sniveled	SNIVEL v -ELED, -ELING, -ELS or -ELLED, -ELLING, -ELS to cry or whine with sniffling
sniveler snivelers	SNIVELER n pl. -S one that snivels
snob snobs	SNOB n pl. -S one who tends to avoid or rebuff those regarded as inferior
snobbery snobberies	SNOBBERY n pl. -BERIES snobbish behavior
snobbier	SNOBBIER comparative of snobby
snobbiest	SNOBBIEST superlative of snobby
snobbily	SNOBBILY adv in a snobby manner
snobbish	SNOBBISH adj characteristic of a snob
snobbism snobbisms	SNOBBISM n pl. -S snobbery
snobby	SNOBBY adj -BIER, -BIEST snobbish
snog snogs snogging snogged	SNOG v SNOGGED, SNOGGING, SNOGS to kiss
snood snoods snooding snooded	SNOOD v -ED, -ING, -S to secure with a snood (a net or fabric cap for the hair)
snook snooks snooking snooked	SNOOK v -ED, -ING, -S to sniff
snooker snookers snookering snookered	SNOOKER v -ED, -ING, -S to trick
snool snools snooling snooled	SNOOL v -ED, -ING, -S to yield meekly
snoop snoops snooping snooped	SNOOP v -ED, -ING, -S to pry about
snooper snoopers	SNOOPER n pl. -S one that snoops
snoopy snoopily snoopiest snoopier	SNOOPY adj SNOOPIER, SNOOPIEST given to snooping SNOOPILY adv
snoot snoots snooting snooted	SNOOT v -ED, -ING, -S to treat with disdain
snooty snootily snootiest snootier	SNOOTY adj SNOOTIER, SNOOTIEST snobbish SNOOTILY adv
snooze snoozes snoozing snoozed	SNOOZE v SNOOZED, SNOOZING, SNOOZES to sleep lightly
snoozer snoozers	SNOOZER n pl. -S one that snoozes
snoozle snoozles snoozling snoozled	SNOOZLE v -ZLED, -ZLING, -ZLES to nuzzle
snoozy snooziest snoozier	SNOOZY adj SNOOZIER, SNOOZIEST drowsy
snore snores snoring snored	SNORE v SNORED, SNORING, SNORES to breathe loudly while sleeping
snorer snorers	SNORER n pl. -S one that snores
snorkel snorkels snorkeling snorkeled	SNORKEL v -ED, -ING, -S to swim underwater with a type of breathing device
snort snorts snorting snorted	SNORT v -ED, -ING, -S to exhale noisily through the nostrils
snorter snorters	SNORTER n pl. -S one that snorts
snot snots	SNOT n pl. -S nasal mucus
snotty snottily snottiest snottier	SNOTTY adj -TIER, -TIEST arrogant SNOTTILY adv
snout snouts snouting snouted	SNOUT v -ED, -ING, -S to provide with a nozzle
snoutish	SNOUTISH adj snouty
snouty snoutiest snoutier	SNOUTY adj SNOUTIER, SNOUTIEST resembling a long, projecting nose
snow snows snowing snowed	SNOW v -ED, -ING, -S to fall as snow (precipitation in the form of ice crystals)
snowball snowballs snowballing snowballed	SNOWBALL v -ED, -ING, -S to increase at a rapidly accelerating rate
snowbank snowbanks	SNOWBANK n pl. -S a mound of snow
snowbell snowbells	SNOWBELL n pl. -S a flowering shrub
snowbelt snowbelts	SNOWBELT n pl. -S a region that receives an appreciable amount of snow each year
snowbird snowbirds	SNOWBIRD n pl. -S a small bird
snowbush snowbushes	SNOWBUSH n pl. -ES a flowering shrub
snowcap snowcaps	SNOWCAP n pl. -S a covering of snow
snowdrop snowdrops	SNOWDROP n pl. -S a European herb
snowfall snowfalls	SNOWFALL n pl. -S a fall of snow
snowier	SNOWIER comparative of snowy
snowiest	SNOWIEST superlative of snowy
snowily	SNOWILY adv in a snowy manner
snowland snowlands	SNOWLAND n pl. -S an area marked by a great amount of snow
snowless	SNOWLESS adj having no snow
snowlike	SNOWLIKE adj resembling snow
snowman snowmen	SNOWMAN n pl. -MEN a figure of a person that is made of snow
snowmelt snowmelts	SNOWMELT n pl. -S water produced by the melting of snow
snowmold snowmolds	SNOWMOLD n pl. -S a fungus disease of grasses near the edge of melting snow
snowpack snowpacks	SNOWPACK n pl. -S an accumulation of packed snow
snowplow snowplows snowplowing snowplowed	SNOWPLOW v -ED, -ING, -S to execute a type of skiing maneuver
snowshed snowsheds	SNOWSHED n pl. -S a structure built to provide protection against snow
snowshoe snowshoes snowshoeing snowshoed	SNOWSHOE v -SHOED, -SHOEING, -SHOES to walk on snowshoes (oval frames that allow a person to walk on deep snow)
snowsuit snowsuits	SNOWSUIT n pl. -S a child's garment for winter wear
snowy	SNOWY adj SNOWIER, SNOWIEST abounding in snow
snub snubs snubbing snubbed	SNUB v SNUBBED, SNUBBING, SNUBS to treat with contempt or neglect
snubber snubbers	SNUBBER n pl. -S one that snubs
snubby snubbiest snubbier	SNUBBY adj -BIER, -BIEST blunt
snubness snubnesses	SNUBNESS n pl. -ES bluntness
snuck	SNUCK a past tense of sneak
snuff snuffs snuffing snuffed	SNUFF v -ED, -ING, -S to use or inhale snuff (powdered tobacco)
snuffbox snuffboxes	SNUFFBOX n pl. -ES a box for holding snuff
snuffer snuffers	SNUFFER n pl. -S one that snuffs
snuffier	SNUFFIER comparative of snuffy
snuffiest	SNUFFIEST superlative of snuffy
snuffily	SNUFFILY adv in a snuffy manner
snuffle snuffles snuffling snuffled	SNUFFLE v -FLED, -FLING, -FLES to sniffle
snuffler snufflers	SNUFFLER n pl. -S one that snuffles
snuffly snuffliest snufflier	SNUFFLY adj -FLIER, -FLIEST tending to snuffle
snuffy	SNUFFY adj SNUFFIER, SNUFFIEST dingy
snug snuggest snugger	SNUG adj SNUGGER, SNUGGEST warmly comfortable
snug snugs snugging snugged	SNUG v SNUGGED, SNUGGING, SNUGS to make snug
snuggery snuggeries	SNUGGERY n pl. -GERIES a snug place
snuggest	SNUGGEST superlative of snug
snuggies	SNUGGIES n/pl women's long underwear
snugging	SNUGGING present participle of snug
snuggle snuggles snuggling snuggled	SNUGGLE v -GLED, -GLING, -GLES to lie or press closely
snugly	SNUGLY adv in a snug manner
snugness snugnesses	SNUGNESS n pl. -ES the quality or state of being snug
snye snyes	SNYE n pl. -S a side channel in a river or creek
so sos	SO n pl. SOS sol
soak soaks soaking soaked	SOAK v -ED, -ING, -S to saturate thoroughly in liquid
soakage soakages	SOAKAGE n pl. -S the act of soaking
soaker soakers	SOAKER n pl. -S one that soaks
soap soaps soaping soaped	SOAP v -ED, -ING, -S to treat with soap (a cleansing agent)
soapbark soapbarks	SOAPBARK n pl. -S a tropical tree
soapbox soapboxes	SOAPBOX n pl. -ES a box for soap
soaper soapers	SOAPER n pl. -S a serial melodrama on radio or television
soapier	SOAPIER comparative of soapy
soapiest	SOAPIEST superlative of soapy
soapily	SOAPILY adv in a soapy manner
soapless	SOAPLESS adj having no soap
soaplike	SOAPLIKE adj resembling soap
soapsuds	SOAPSUDS n/pl suds (soapy water)
soapwort soapworts	SOAPWORT n pl. -S a perennial herb
soapy	SOAPY adj SOAPIER, SOAPIEST containing or resembling soap
soar soars soaring soared	SOAR v -ED, -ING, -S to fly at a great height
soarer soarers	SOARER n pl. -S one that soars
soaring soarings	SOARING n pl. -S the sport of flying in a heavier-than-air craft without power
soave soaves	SOAVE n pl. -S an Italian wine
sob sobs sobbing sobbed	SOB v SOBBED, SOBBING, SOBS to cry with a convulsive catching of the breath
sobber sobbers	SOBBER n pl. -S one that sobs
sobeit	SOBEIT conj provided that
sober soberest soberer	SOBER adj SOBERER, SOBEREST having control of one's faculties
sober sobers sobering sobered	SOBER v -ED, -ING, -S to make sober
soberize soberizes soberizing soberized	SOBERIZE v -IZED, -IZING, -IZES to sober
soberly	SOBERLY adv in a sober manner
sobful	SOBFUL adj given to sobbing
sobriety sobrieties	SOBRIETY n pl. -ETIES the quality or state of being sober
socage socages	SOCAGE n pl. -S a form of feudal land tenure
socager socagers	SOCAGER n pl. -S a tenant by socage
soccage soccages	SOCCAGE n pl. -S socage
soccer soccers	SOCCER n pl. -S a type of ball game
sociable sociables	SOCIABLE n pl. -S a social
sociably	SOCIABLY adv in a friendly manner
social socials	SOCIAL n pl. -S a friendly gathering
socially	SOCIALLY adv with respect to society
