name,sex,meaning,origin
Garvey,M,Spear bearer,English
Garvey,M,Spear bearer,Latin
Garvey,M,Spear bearer,Teutonic
Garvie,M,Spear bearer,English
Garvie,M,Spear bearer,Latin
Garvie,M,Spear bearer,Teutonic
Garvin,M,Carries a spear,English
Garvin,M,"Rough, Rugged",Irish
Garvin,M,Spear bearer,Latin
Garvin,M,Spear bearer,Teutonic
Garvyn,M,Friend with a spear,English
Garvyn,M,Spear friend,German
Garwig,M,Spear fighter,English
Garwin,M,Friend with a spear,English
Garwood,M,From the fir forest,English
Garwyn,M,Friend with a spear,English
Gary,M,Carries a spear,English
Gary,M,"Gentle, Enclosure, Watchful",French
Gary,M,"Gentle, Enclosure, Watchful",Norse
Gary,M,"Gentle, Enclosure, Watchful",Welsh
Gary,M,Spear,German
Gary,M,Spear bearer,Latin
Gary,M,Spear bearer,Teutonic
Garyson,M,Son of Gary,English
Gascon,M,From Gascony,French
Gaspar,M,Treasure,Spanish
Gaspar,M,Treasurer,Arabic
Gaspar,M,Treasurer,French
Gaspara,F,Treasure,Spanish
Gaspard,M,Treasure,Spanish
Gaspard,M,Treasurer,French
Gaspare,M,Master of treasure,Spanish
Gaston,M,From Gascony,French
Gaukroger,M,Roger the clumsy,English
Gaurang,M,Fair complexioned,Indian
Gaurav,M,"Honour, Pride, Respect",Indian
Gauri,F,Yellow,Indian
Gauthier,M,Powerful ruler,French
Gauthier,M,"Powerful warrior, Rule amry",German
Gautier,M,Powerful ruler,French
Gautier,M,"Powerful warrior, Rule amry",German
Gauvain,M,Eldest son of Lot,Arthurian Legend
Gavan,M,White hawk,Scottish
Gavan,M,White hawk,Welsh
Gaven,M,White hawk,Scottish
Gavenia,F,White hawk,Scottish
Gavi,M,God is my strength,Hebrew
Gavin,M,White hawk,Scottish
Gavin,M,White hawk,Welsh
Gavina,F,White hawk,Scottish
Gavra,F,God is my strength,Hebrew
Gavrie,M,Man of God,Russian
Gavriel,M,God is my strength,Hebrew
Gavrila,M,God is my strength,Hebrew
Gavrila,F,God is my strength,Hebrew
Gavrilla,F,God gives strength,Hebrew
Gavyn,M,White hawk,Scottish
Gawain,M,Battle hawk,English
Gawain,M,Courteous,Welsh
Gawain,M,Eldest son of Lot,Arthurian Legend
Gawain,M,From Arthurian legend - Eldest son of Lot,Celtic
Gawain,M,White hawk,Scottish
Gawaine,M,Courteous,Welsh
Gawen,M,Battle hawk,English
Gawen,M,Courteous,Welsh
Gawen,M,White hawk,Scottish
Gawyn,M,Battle hawk,English
Gawyn,M,White hawk,Scottish
Gay,M,Merry,French
Gay,F,Joyful,English
Gay,F,Light hearted,French
Gayatri,F,Mother of the Vedas,Indian
Gaye,M,Merry,French
Gayelord,M,Brave strength,French
Gayla,F,Festive party,English
Gaylard,M,Brave strength,French
Gayle,M,Lively,English
Gayle,F,Joyful,English
Gaylen,F,Festive party,English
Gaylene,F,Joyful,English
Gaylord,M,Brave strength,French
Gaynes,F,Increase in wealth,English
Gaynor,M,Son of the fair-haired one,Gaelic
Gaynor,F,Increase in wealth,English
Gazit,F,Cut stone,Hebrew
Gearoid,M,Brave with a spear,Irish
Geary,M,Flexible,English
Gechina,F,Grace,Spanish
Gedala,F,The day,Australian Abori
Gedaliah,M,God has made great,Hebrew
Gedalya,M,God has made great,Hebrew
Gedalyahu,M,God has made great,Hebrew
Gedeon,M,Destroyer,Hebrew
Gedeon,M,"Warrior, Devastator",Hungarian
Geela,F,Eternal joy,Hebrew
Geert,M,Brave strength,German
Geet,M,Song,Indian
Geffrey,M,Peaceful,English
Geffrey,M,Peaceful,French
Gefjun,F,One who endows wealth,Scandinavian
Gehard,M,Spear hard,English
Geir,M,Spear,Norse
Gelar,M,A brother,Australian Abori
Gelasia,F,Predisposed to laughter,Greek
Gelsey,F,Flower,Persian
Gelsi,F,Flower,Persian
Gelsy,F,Flower,Persian
Gemma,F,Jewel ??,English
Gemma,F,Jewel ??,French
Gemma,F,Jewel ??,Latin
Genavieve,F,"White wave, White spirit, White cheeked",Welsh
Genaya,F,White wave,English
Gene,M,Born lucky,English
Gene,M,Born lucky,Greek
Generosa,F,Generous,Spanish
Generosb,M,Generous,Spanish
Genesis,M,"Origin, Birth",Hebrew
Genesis,F,"Origin, Birth",Hebrew
Genessa,F,"Origin, Birth",Hebrew
Geneva,F,Of the race of women,German
Geneva,F,"Of the race of women, White wave",French
Geneve,F,Of the race of women,French
Geneve,F,Of the race of women,German
Genevia,F,Juniper berry,French
Genevie,F,Of the race of women,French
Genevie,F,Of the race of women,German
Genevieve,F,"Of the race of women, White wave",French
Genevieve,F,"Of the race of women, White wave",German
Genevieve,F,White wave,Celtic
Genevre,F,Juniper,French
Genisa,F,"Origin, Birth",Hebrew
Genisia,F,"Origin, Birth",Hebrew
Genisis,F,"Origin, Birth",Hebrew
Genivee,F,Of the race of women,French
Genivee,F,Of the race of women,German
Genji,F,Gold,Chinese
Genna,F,White wave,English
Genny,F,"Of the race of women, White wave",French
Genny,F,White wave,English
Genoveva,F,White wave,German
Genowefa,F,White wave,German
Geoff,M,Peaceful,English
Geoff,M,Peaceful,French
Geoff,M,Peaceful gift,Anglo-Saxon
Geoffrey,M,Divine peace,French
Geoffrey,M,Peaceful,English
Geoffrey,M,Peaceful gift,Anglo-Saxon
Geol,M,Born at Christmas,English
Geomar,M,Famous in battle,German
Geordie,M,"Farmer, To work the earth",Greek
Georg,M,Farmer,German
Georg,M,"Farmer, To work the earth",Greek
George,M,Farmer,English
George,M,"Farmer, To work the earth",Greek
Georgea,F,"Farmer, To work the earth",Greek
Georgeanne,F,"Farmer, To work the earth",Greek
Georgeen,F,"Farmer, To work the earth",Greek
Georgeena,F,"Farmer, To work the earth",Greek
Georges,M,"Farmer, To work the earth",Greek
Georgette,F,Farmer,French
Georgette,F,"Farmer, To work the earth",Greek
Georgi,M,"Farmer, To work the earth",Greek
Georgia,F,Farmer,English
Georgia,F,Farmer,German
Georgia,F,"Farmer, To work the earth",Greek
Georgianna,F,"Farmer, To work the earth",Greek
Georgie,M,"Farmer, To work the earth",Greek
Georgie,F,"Farmer, To work the earth",Greek
Georgienne,F,"Farmer, To work the earth",Greek
Georgina,F,"Farmer, To work the earth",Greek
Georgine,F,Farmer,French
Georgine,F,"Farmer, To work the earth",Greek
Georgio,M,"Farmer, To work the earth",Greek
Georgitte,F,Farmer,French
Georgius,M,"Farmer, To work the earth",Greek
Georgy,M,"Farmer, To work the earth",Greek
Georgy,F,"Farmer, To work the earth",Greek
Geraghty,M,From the court,Irish
Geraint,M,Name of a king,Anglo-Saxon
Gerald,M,Rules by the spear,English
Gerald,M,Rules by the spear,German
Gerald,M,Rules by the spear,Teutonic
Geraldene,F,Rules by the spear,Teutonic
Geraldina,F,Rules by the spear,English
Geraldina,F,Rules by the spear,German
Geraldina,F,Rules by the spear,Teutonic
Geraldine,F,Rules by the spear,English
Geraldine,F,Rules by the spear,German
Geraldine,F,Rules by the spear,Teutonic
Geraldo,M,Rules by the spear,Spanish
Geraldo,M,Rules by the spear,Teutonic
Geraldyne,F,Rules by the spear,Teutonic
Geralt,M,Fanner,Irish
Geralyn,F,Rules by the spear,English
Geralyn,F,Rules by the spear,German
Geralynn,F,Rules by the spear,English
Geralynn,F,Rules by the spear,German
Gerard,M,Rules by the spear,Teutonic
Gerard,M,Spear strong,French
Gerard,M,Spear strong,German
Gerardo,M,Rules by the spear,Spanish
Gerardo,M,Rules by the spear,Teutonic
Gerardo,M,Spear hard,English
Geraud,M,Rules by the spear,Teutonic
Gerbert,M,Rules by the spear,Teutonic
Gerd,M,Spear hard,English
Gerd,F,To be guarded,Scandinavian
Gerda,F,"Farmer, To work the earth",Greek
Gerda,F,Protection,German
Gerda,F,Spear maiden,Teutonic
Gerde,F,Protected,German
Gerdie,F,Protected,German
Gere,M,Rules by the spear,English
Gere,M,Rules by the spear,German
Gerek,M,Rules by the spear,Teutonic
Gereldine,F,Rules by the spear,Teutonic
Geremia,M,God is high,Hebrew
Gergely,M,Vigilant watch,Latin
Gerhard,M,Rules by the spear,Teutonic
Gerhard,M,Spear strong,German
Gerhardina,F,Mighty with a spear,German
Gerhardine,F,Mighty with a spear,German
Gerhardt,M,Rules by the spear,Teutonic
Gerhart,M,Rules by the spear,Teutonic
Geri,M,Rules by the spear,Teutonic
Geri,F,Rules by the spear,English
Geri,F,Rules by the spear,Teutonic
Gerica,F,Ruler with the spear,English
Gericka,F,Ruler with the spear,English
Gerik,M,Prosperous spearman,Polish
Gerika,F,Ruler with the spear,English
Gerlach,M,"Spear thrower, Marksman",German
Germain,M,"From Germany, Bud",English
Germain,M,"From Germany, Bud",French
Germain,F,From Germany,French
Germaine,F,From Germany,French
Germaine,F,Loud of voice,Celtic
German,M,"From Germany, Bud",English
German,M,"From Germany, Bud",French
German,M,Warrior,Spanish
Germana,F,From Germany,French
Germano,M,German,French
Gerold,M,Rules by the spear,English
Gerold,M,Rules by the spear,German
Geron,M,"Guards, Guardian",French
Geron,M,"Guards, Guardian",German
Geronimo,M,Sacred,Spanish
Gerrald,M,Rules by the spear,English
Gerrald,M,Rules by the spear,German
Gerrard,M,Spear strong,French
Gerrard,M,Spear strong,German
Gerred,M,Rules by the spear,English
Gerrell,M,Rules by the spear,English
Gerrell,M,Rules by the spear,German
Gerri,F,Rules by the spear,English
Gerrie,F,Rules by the spear,Teutonic
Gerrilyn,F,Ruler with the spear,English
Gerrit,M,Rules by the spear,Teutonic
Gerrit,M,Spear hard,English
Gerry,M,Rules by the spear,English
Gerry,M,Rules by the spear,Teutonic
Gerry,F,Rules by the spear,Teutonic
Gersemi,F,Jewel ??,Scandinavian
Gersham,M,Exiled,Hebrew
Gershom,M,Exiled,Hebrew
Gerson,M,"Stranger, Banished",Hungarian
Gert,F,Spear maiden,Teutonic
Gerta,F,Spear maiden,Teutonic
Gerte,F,Spear maiden,Teutonic
Gertie,F,Spear maiden,Teutonic
Gertrud,F,From the protected farm,German
Gertrud,F,Spear maiden,Teutonic
Gertruda,F,From the protected farm,German
Gertrude,F,Appeared in Hamlet,Shakespearian
Gertrude,F,From the protected farm,German
Gertrude,F,Spear maiden,Teutonic
Gertrudes,F,Spear maiden,Spanish
Gertrudis,F,Spear maiden,Spanish
Gertrut,F,From the protected farm,German
Gerty,F,Spear maiden,Teutonic
Gervais,M,Spear bearer,English
Gervais,M,Spear bearer,Latin
Gervais,M,Spear bearer,Teutonic
Gervaise,M,Spearman,English
Gervase,M,Carries a spear,English
Gervase,M,Spear bearer,Latin
Gervase,M,Spear bearer,Teutonic
Gervasio,M,Warrior,Spanish
Gervaso,M,Warrior,Spanish
Gervis,M,Spear bearer,English
Gervis,M,Spear bearer,Latin
Gervis,M,Spear bearer,Teutonic
Gerwalt,F,Mighty with a spear,German
Gerwalta,F,Mighty with a spear,German
Gery,F,Rules by the spear,Teutonic
Gerzson,M,"Stranger, Banished",Hungarian
Geva,F,Hill,Hebrew
Gezana,F,Reference to the Incarnation,Spanish
Gezane,F,Reference to the Incarnation,Spanish
Gheera,F,A gum leaf,Australian Abori
Ghera,F,A gum leaf,Australian Abori
Gherardo,M,Spear hard,English
Ghislain,M,Oath,German
Ghislaine,F,Pleasant oath,German
Ghislaine,F,Sweet pledge,French
Giacinta,F,Hyacinth flower,Italian
Giacomo,M,Replaces,Hebrew
Giaffar,M,"January, enlightened",Arabic
Gian,M,Gift from God,Hebrew
Gianina,F,God is gracious,Italian
Gianna,F,"Gracious, Merciful, God is gracious",Hebrew
Giannes,M,Gift from God,Hebrew
Gibbesone,M,Gilbert's Son,English
Gibson,M,Gilbert's Son,English
Gid,M,Mighty warrior,Hebrew
Giddy,M,Mighty warrior,Hebrew
Gideon,M,Mighty warrior,Hebrew
Gidget,F,"Resolute, Strength, Saint",Celtic
Gidgey,F,"Resolute, Strength, Saint",Celtic
Gifford,M,Chubby cheeks,French
Gifford,M,Gift of bravery,English
Giflet,M,Returns Excalibur to the lake,Arthurian Legend
Gifre,M,Greedy,Anglo-Saxon
Gifuhard,M,Gift of bravery,English
Gijs,M,Intelligent,English
Gijs,F,Bright,English
Gikhrist,M,Serves Christ,Irish
Gil,M,From the high peak,Scottish
Gil,M,Happiness,Hebrew
Gil,M,Serves Christ,Irish
Gil,M,Squire Young shield,Spanish
Gil,M,Youthful,French
Gila,F,Eternal joy,Hebrew
Gilah,F,Eternal joy,Hebrew
Gilal,F,Eternal joy,Hebrew
Gilala,F,Eternal joy,Hebrew
Gilana,F,Eternal joy,Hebrew
Gilat,F,Eternal joy,Hebrew
Gilbarta,F,"Pledge, Vow",Scottish
Gilbert,M,Bright lad,French
Gilbert,M,Bright lad,German
Gilbert,M,Trusted,English
Gilberta,F,Hostage,German
Gilberto,M,Bright lad,Spanish
Gilbride,M,Serves Saint Bridget,Irish
Gilburt,M,Trusted,English
Gilda,F,Golden,English
Gilda,F,Serves God,Celtic
Gildan,F,Gilded,English
Gildas,M,Gilded,English
Gildas,M,Name of a historian,Anglo-Saxon
Gildas,M,Serves God,Celtic
Gildas,F,Serves God,Celtic
Gildea,M,Golden,Irish
Gilen,F,Industrious pledge,Teutonic
Gilford,M,From Gill'S ford,English
Gili,M,Happiness,Hebrew
Gili,F,Eternal joy,Hebrew
Gilia,F,Eternal joy,Hebrew
Gilibeirt,M,"Pledge, Vow",Irish
Gilie,M,From the high peak,Scottish
Gilit,F,Eternal joy,Hebrew
Gill,M,Youthful,French
Gilleabart,M,"Pledge, Vow",Scottish
Gilleasbuig,M,Brave,German
Gilleasbuig,M,Brave,Scottish
Gillecriosd,M,Christ bearer,Scottish
Gillermo,M,Resolute protector,Spanish
Gilley,M,Serves Christ,Irish
Gilli,M,Happiness,Hebrew
Gillian,F,Downy-haired,Latin
Gillian,F,Youthful,English
Gillivray,M,Servant of judgment,Scottish
Gilly,M,From the high peak,Scottish
Gilmar,M,Famous hostage,English
Gilmat,M,Sword bearer,Scottish
Gilmer,M,Famous hostage,English
Gilmer,M,Sword bearer,Scottish
Gilmore,M,Serves Mary,Celtic
Gilmore,M,Sword bearer,Scottish
Gilpin,M,Trusted,English
Gilroy,M,Serves the king,Scottish
Gilroy,M,Serves the red haired lord,Celtic
Gilvarry,M,Serves Christ,Irish
Gimm,M,Gem,Anglo-Saxon
Gin,F,Silver,Japanese
Gina,F,Abbreviation of names ending in -gina,English
Gina,F,"Farmer, To work the earth",Greek
Gina,F,Queenly,Latin
Gina,F,Silvery,Japanese
Ginebra,F,White,Spanish
Ginebra,F,White as foam,Celtic
Ginerva,F,White as foam,Celtic
Ginessa,F,White,Spanish
Ginessa,F,White as foam,Celtic
Ginger,F,Ginger plant,Latin
Ginger,F,"Liveliness, The pungent ginger root",English
Ginia,F,"Chaste, Maiden",Latin
Ginna,F,Virgin,English
Ginnette,F,Virgin,English
Ginni,F,"Chaste, Maiden",Latin
Ginnie,F,Virgin,English
Ginny,F,"Chaste, Maiden",Latin
Ginny,F,Virgin,English
Ginton,M,A garden,Arabic
Gioa,F,Joyful,English
Giolla Chriost,M,Serves Christ,Irish
Giollabrighde,M,Serves Saint Bridget,Irish
Giollabuidhe,M,Blond,Irish
Giolladhe,M,Golden,Irish
Giomar,M,Famous in battle,German
Giorgia,F,"Farmer, To work the earth",Greek
Giorgio,M,"Farmer, To work the earth",Greek
Giorgis,M,"Farmer, To work the earth",Greek
Giovanna,F,God is gracious,Hebrew
Giovanni,M,Gift from God,Hebrew
Gipsy,F,Wandering tribe,English
Girard,M,Rules by the spear,Teutonic
Girauld,M,Rules by the spear,Teutonic
Girault,M,Rules by the spear,Teutonic
Giraut,M,Rules by the spear,Teutonic
Girflet,M,Returns Excalibur to the lake,Arthurian Legend
Giridhar,M,One who holds mountain (Krishna),Indian
Girilal,M,Son of mountain,Indian
Giriraj,M,Lord of mountain,Indian
Girish,M,God of mountain,Indian
Girra,M,"A creek, A tree",Australian Abori
Gisa,F,Cut stone,Hebrew
Gisela,F,"A pledge, Oath",German
Giselbert,M,Trusted,English
Gisella,F,"Pledge, Vow",French
Gisella,F,"Pledge, Vow",German
Giselle,F,"A pledge, Oath",German
Giselle,F,"Pledge, Vow",French
Giselmaere,M,Famous hostage,English
Gisilberhta,F,Hostage,German
Gitana,F,Gypsy,Spanish
Githa,F,Gift,Anglo-Saxon
Githa,F,Gift,English
Gitta,F,Strong,Celtic
Giuseppe,M,God wiIl multiply,Hebrew
Giuseppina,F,God wiIl multiply,Hebrew
Giustina,F,"Just, True",Hebrew
Giustina,F,"Just, True",Latin
Givon,M,"Hill, Heights",Arabic
Giynna,F,Of the glen,Irish
Giza,F,Cut stone,Hebrew
Gizane,F,Christ's incarnation,Spanish
Glad,F,Happy,English
Gladwin,M,Happy friend,English
Gladwyn,M,Happy friend,English
Glaedwine,M,Happy friend,English
Glais,M,Percival's grandfather,Arthurian Legend
Glaleanna,M,Dwells in the glen,Irish
Gleda,F,To make happy,English
Glen,M,From the valley,Celtic
Glenn,M,From the valley,Celtic
Glenn,M,Valley,Gaelic
Glenna,F,From the valley,Gaelic
Glenna,F,Of the glen,Irish
Glifieu,M,Mythical son of Taran,Celtic
Gliona,F,Daughter of a river God,Irish
Gloria,F,Glory,Latin
Gloriana,F,Glorious grace,English
Gloriane,F,Glorious grace,English
Glorianna,F,Glorious grace,English
Glyn,M,From the valley,Celtic
Glynis,F,Little valley,Welsh
Glynn,F,Little valley,Welsh
Gobha,M,A smith,Scottish
Gobinet,F,Bringer of joy,Irish
Gobnait,F,Bringer of joy,Irish
Gobnat,F,Bringer of joy,Irish
Godalupe,F,Reference to the Virgin Mary,Spanish
Goddard,M,Hard spear,German
Godfredo,M,Friend of God,Spanish
Godfrey,M,God's peace,English
Godfrey,M,Peace from God,Irish
Godfrey,M,Peaceful god,German
Godgifu,F,Gift from God,English
Godiva,F,Gift from God,English
Godofredo,M,Friend of God,Spanish
Godric,M,Rules with God,Anglo-Saxon
Godwin,M,God's friend,English
Godwine,M,Friend of God,Anglo-Saxon
Godwine,M,God's friend,English
Gofraidh,M,Peace from God,Irish
Gofried,M,Peaceful god,German
Gogarty,M,Banished,Irish
Gogo,F,Grandmother,African
Gold,M,Blond,English
Golda,F,Flower,Greek
Golda,F,Gold,English
Golden,M,Blond,English
Goldie,F,Flower,Greek
Goldie,F,Gold,English
Golding,M,Son Of Gold,English
Golds,F,Gilded,English
Goldwin,M,Golden friend,English
Goldwine,M,Golden friend,English
Goldwyn,M,Golden friend,English
Goldy,F,Gilded,English
Golligan,M,Surname,Irish
Goneril,F,Appeared in King Lear,Shakespearian
Gonzalo,M,Appeared in The Tempest,Shakespearian
Goodwin,M,Good friend,English
Goodwine,M,Good friend,English
Goodwyn,M,Good friend,English
Gopal,M,Lord Krishna,Indian
Gopan,M,Protection,Indian
Goraidh,M,Peaceful,Scottish
Goran,M,"Farmer, To work the earth",Greek
Gorane,F,Holy cross,Spanish
Gordain,M,Hero,Scottish
Gordan,M,Hero,Scottish
Gordana,F,Heroic,Scottish
Gordania,F,Heroic,Scottish
Gordie,M,From the cornered hill,Anglo-Saxon
Gordon,M,From the cornered hill,Anglo-Saxon
Gordon,M,From the cornered hill,English
Gordon,M,From the marshes,Scottish
Gordy,M,From the cornered hill,Anglo-Saxon
Gore,M,A kingdom,Arthurian Legend
Gorlois,M,Igraine's husband,Arthurian Legend
Gormain,M,Blue,Irish
Gorman,M,Blue,Irish
Gormghlaith,F,Sad,Irish
Gormley,M,Surname,Irish
Gormley,F,Sad,Irish
Gormly,F,Sad,Irish
Gorre,M,A kingdom,Arthurian Legend
Gorrie,M,Peace from God,Irish
Gorry,M,Peace from God,Irish
Gorsedd,M,From Arbeth,Celtic
Gorvenal,M,A knight,Arthurian Legend
Gosceline,F,"Happy, Full of joy",Latin
Gosheven,M,Leaper,Native American
Gothfraidh,M,Peaceful,Irish
Gottfried,M,Peaceful god,German
Gotzone,F,"Angel, Heavenly messenger",Spanish
Gouveniail,M,A knight,Arthurian Legend
Govannon,M,God of the forge,Anglo-Saxon
Goveniayle,M,A knight,Arthurian Legend
Govind,M,Cowherd,Indian
Gow,M,A smith,Scottish
Gowan,M,A smith,Scottish
Gower,M,Appeared in Henry V,Shakespearian
Gowyn,M,God's friend,English
Grace,F,Grace,English
Grace,F,"Grace, Blessing",Latin
Gracia,F,Grace,English
Gracia,F,Grace,Spanish
Graciana,F,Grace,Spanish
Gracie,F,Grace,English
Graden,M,"Gray haired, Son of the Gray family, Son of Gregory",English
Gradon,M,"Gray haired, Son of the Gray family, Son of Gregory",English
Grady,M,Noble,Irish
Grady,M,"Noble, Illustrious",Gaelic
Graeae,F,Gray ones,Greek
Graeghamm,M,From the gray home,English
Graegleah,M,From the gray meadow,English
Graeham,M,From the gray home,English
Graeme,M,Farm home,English
Graeme,M,Farm home,Scottish
Graeme,M,Warring,Anglo-Saxon
Graent,M,Great,English
Grafere,M,Lives in the grove,English
Graham,M,From the gray home,Scottish
Graham,M,"From the great meadow, Farm home",English
Graham,M,Warring,Anglo-Saxon
Grahem,M,Warring,Anglo-Saxon
Graine,F,Taken from Igraine,Arthurian Legend
Grainne,F,Charming,Irish
Grainne,F,Love,Gaelic
Grainne,F,Taken from Igraine,Arthurian Legend
Gram,M,From the gray home,English
Gram,M,Grain,Latin
Gram,M,Warring,Anglo-Saxon
Grandpré,M,Appeared in Henry V,Shakespearian
Granger,M,Farmer,English
Grangere,M,Farmer,English
Grania,F,Love,Celtic
Grania,F,Love,Gaelic
Grant,M,"Bestow, Great, Tall",English
Grant,M,Great,Latin
Grant,M,Great,Scottish
Grantham,M,From the great meadow,English
Grantland,M,From the large meadow,English
Grantley,M,From the large meadow,English
Granville,M,From the large town,French
Gratiano,M,"Appeared in Merchant of Venice, Othello",Shakespearian
Gray,M,Gray haired,English
Graysen,M,"Gray haired, Son of the Gray family, Son of Gregory",English
Grayson,M,Son of Gray,English
Grayvesone,M,Son of the reeve,English
Grazia,F,"Grace, Blessing",Latin
Graziana,F,"Grace, Blessing",Latin
Grazina,F,Grace,Hebrew
Grazinia,F,Grace,Hebrew
Grazyna,F,Grace,Hebrew
Greagoir,M,Watchful,Irish
Grear,F,Watchful,Scottish
Greeley,M,From the gray meadow,English
Greely,M,From the gray meadow,English
Greg,M,Fierce,Celtic
Greg,M,On the watch,English
Greger,M,Vigilant,Swedish
Gregg,M,On the watch,English
Gregor,M,On the watch,German
Gregor,M,Vigilant,Scottish
Gregoria,F,Vigilant,Spanish
Gregorio,M,Watchful,Spanish
Gregory,M,Appeared in Romeo & Juliet,Shakespearian
Gregory,M,On the watch,English
Gregory,M,Vigilant watch,Latin
Gregson,M,Son of Gerald,English
Gremian,M,Enrages,Anglo-Saxon
Gremio,M,Appeared in Taming of the Shrew,Shakespearian
Grendel,M,Legend name,Anglo-Saxon
Grenville,M,From the large town,French
Gresham,M,From the grazeland,English
Greta,F,Child of light,Persian
Greta,F,Pearl ??,German
Greta,F,Pearl ??,Latin
Gretchen,F,Child of light,Persian
Gretchen,F,Pearl ??,German
Gretchen,F,Pearl ??,Latin
Grete,F,Child of light,Persian
Grete,F,Pearl ??,Latin
Gretel,M,Pearl ??,German
Gretel,F,Child of light,Persian
Gretel,F,Pearl ??,German
Gretel,F,Pearl ??,Latin
Gretel,F,Pearl ??,Scandinavian
Gretle,F,Child of light,Persian
Gretle,F,Pearl ??,Latin
Grette,F,Pearl ??,Danish
Grey,M,Gray haired,English
Greyson,M,"Gray haired, Son of the Gray family, Son of Gregory",English
Gricelda,F,"Gray, Gray haired",German
Griff,M,"Fierce chief, Ruddy",Welsh
Griffie,M,"Fierce chief, Ruddy",Welsh
Griffin,M,Surname,Irish
Griffith,M,A murderer,Arthurian Legend
Griffith,M,Appeared in Henry VIII,Shakespearian
Griffith,M,"Fierce chief, Ruddy",Welsh
Griffyth,M,A murderer,Arthurian Legend
Griflet,M,Returns Excalibur to the lake,Arthurian Legend
Grimbold,M,Fierce bold,Anglo-Saxon
Grimm,M,Fierce,Anglo-Saxon
Grimme,M,Fierce,Anglo-Saxon
Grindan,M,Sharp,Anglo-Saxon
Gringalet,M,Gawain's horse,Arthurian Legend
Gringolet,M,Gawain's horse,Arthurian Legend
Grioghar,M,Watchful,Irish
Griorgair,M,Vigilant,Scottish
Grisandole,F,A princess who dresses as a man,Arthurian Legend
Griselda,F,Gray battle maiden,German
Griselde,F,Gray battle maiden,German
Grisella,F,"Gray, Gray haired",German
Grisham,M,From the grazeland,English
Grisjahilde,F,Gray battle maiden,German
Griswald,M,From the gray forest,German
Griswalda,F,From the gray forest,German
Griswalde,F,From the gray forest,German
Griswold,M,From the gray forest,German
Grizel,F,Gray haired,Scottish
Grizela,F,Gray haired,Scottish
Grosvenor,M,Great hunter,French
Grover,M,Lives in the grove,English
Gruddieu,M,Mythical son of Muriuel,Celtic
Grumio,M,Appeared in Taming of the Shrew,Shakespearian
Gruzia,F,"Farmer, To work the earth",Greek
Gryfflet,M,Killed by Lancelot,Arthurian Legend
Gryselda,F,"Gray, Gray haired",German
Grzegorz,M,Vigilant watch,Latin
Guadalupe,M,Wolf valley,Arabic
Guadalupe,F,Named for the Virgin Mary,Spanish
Guadalupe,F,Wolf valley,Arabic
Gualterio,M,Strong warrior,Spanish
Guanhamara,F,Arthur's queen,Arthurian Legend
Guanhumora,F,Arthur's queen,Arthurian Legend
Gubnat,F,Bringer of joy,Irish
Gudrun,F,Battler,Scandinavian
Gudrun,F,Divine knowledge,German
Gudruna,F,Divine knowledge,German
Guendolen,F,White,English
Guenevere,F,Arthur's queen,Arthurian Legend
Guenevere,F,White lady,Celtic
Guenloie,F,Arthur's queen,Arthurian Legend
Guennola,F,White,Celtic
Guerehes,M,Brother of Gawain,Arthurian Legend
Gui,M,"Guide, Wood, Wide",French
Gui,M,"Guide, Wood, Wide",Teutonic
Guida,F,Guide,German
Guiderius,M,Appeared in Cymbeline,Shakespearian
Guiditta,F,Praise,Hebrew
Guido,M,Guide,Spanish
Guifford,M,Chubby cheeks,French
Guilaine,F,Pleasant oath,German
Guilbert,M,Trusted,English
Guildenstern,M,Appeared in Hamlet,Shakespearian
Guillaume,M,Resolute protector,French
Guillaume,M,Valiant protector,Teutonic
Guillelmina,F,Resolute protector,Spanish
Guillelmine,F,Fierce protector,Teutonic
Guillemette,F,Fierce protector,Teutonic
Guillermo,M,Resolute protector,Spanish
Guillermo,M,Valiant protector,Teutonic
Guinevere,F,Arthur's queen,Arthurian Legend
Guinevere,F,White lady,Celtic
Guinevere,F,"White, Fair, White wave",Welsh
Guiseppe,M,God wiIl multiply,Hebrew
Guiseppie,F,He shall add,Hebrew
Guiseppina,F,He shall add,Hebrew
Guivret,M,A dwarf king,Arthurian Legend
Gulab,M,Rose,Indian
Gulara,F,Goolara,Australian Abori
Gunaratna,M,Jewel of virtue,Indian
Gunda,F,Female Warrior,Scandinavian
Gunilla,F,Battle maiden,German
Gunn,M,White,Scottish
Gunna,F,White,Scottish
Gunnar,M,Brave warrior,Teutonic
Gunnel,F,Battle maiden,German
Gunter,M,"Battle-army, Warrior",Scandinavian
Gunther,M,"Battle-army, Warrior",Scandinavian
Gunther,M,Warrior,German
Gurbachan,M,Promise of the guru,Indian
Gurcharan,M,Feet of the guru,Indian
Gurdayal,M,Compassionate guru,Indian
Gurdeep,M,Lamp of the guru,Indian
Gurgalan,M,A pagan king,Arthurian Legend
Guri,M,My lion cub,Hebrew
Gurice,F,Cub,Hebrew
Gurion,M,My lion cub,Hebrew
Gurit,F,Cub,Hebrew
Gurley,F,A native willow,Australian Abori
Gurmeet,M,Friend of the guru,Indian
Gurnam,M,Name of the guru,Indian
Gursharan,M,Refuge at the guru,Indian
Guru,M,"Teacher, Master, Priest",Indian
Gurudas,M,Servant of the guru,Indian
Gurudutt,M,Gift of the guru,Indian
Gus,M,Exalted,Latin
