name,Weight
ALTOMARE,5
ALTOMARI,5
ALTOMONTE,5
ALTON,20
ALTONEN,5
ALTOP,5
ALTRECHE,5
ALTRINGER,5
ALTRO,5
ALTROGGE,5
ALTSCHULER,5
ALTSHULER,5
ALTSISI,5
ALTSTATT,5
ALTUM,5
ALTVATER,5
ALTWIES,5
ALTY,5
ALU,5
ALUARADO,5
ALUAREZ,5
ALUISE,5
ALUKONIS,5
ALUMBAUGH,5
ALUMMOOTTIL,5
ALUQDAH,5
ALVA,10
ALVACADO,5
ALVALLE,5
ALVANAS,5
ALVANEZ,5
ALVARA,5
ALVARADO,270
ALVARDO,10
ALVARENGA,10
ALVARENGO,5
ALVARES,10
ALVAREZ,480
ALVARO,5
ALVARRACIN,5
ALVARRAN,5
ALVEAR,5
ALVELO,5
ALVEN,5
ALVERADO,5
ALVERAZ,5
ALVEREST,5
ALVEREZ,10
ALVERIO,5
ALVERNAZ,5
ALVERO,5
ALVERSON,10
ALVES,30
ALVEY,10
ALVEZ,5
ALVIA,5
ALVIAR,5
ALVIDREZ,5
ALVIN,5
ALVINE,5
ALVINO,5
ALVIRA,5
ALVIREZ,5
ALVIS,10
ALVISO,5
ALVIZO,5
ALVORD,10
ALVOREZ,5
ALWAN,5
ALWANG,5
ALWARD,5
ALWARDT,5
ALWAY,5
ALWAZAN,5
ALWIN,5
ALWINE,5
ALY,5
ALYEA,5
ALZAGA,5
ALZATE,5
ALZUGARAY,5
AMABILE,5
AMACHER,5
AMACK,5
AMACKER,5
AMADEO,5
AMADI,5
AMADIO,5
AMADO,10
AMADON,5
AMADOR,40
AMAILLA,5
AMAKER,10
AMALFITANO,5
AMALONG,5
AMAN,10
AMANCIO,5
AMANN,10
AMANO,5
AMANTE,5
AMANZA,5
AMAR,10
AMARA,5
AMARAL,30
AMARANTE,5
AMARGO,5
AMARI,5
AMARIAN,5
AMARILLAS,5
AMARO,20
AMAS,5
AMASON,5
AMASS,5
AMAT,5
AMATI,5
AMATO,40
AMAUTY,5
AMAVISCA,5
AMAYA,50
AMAZAN,5
AMBAGIS,5
AMBEAU,5
AMBER,5
AMBERG,5
AMBERS,5
AMBERSON,5
AMBERT,5
AMBLE,5
AMBLER,10
AMBOISE,5
AMBOREE,5
AMBORN,5
AMBRES,5
AMBRISTER,5
AMBRIZ,20
AMBROGI,5
AMBROSE,60
AMBROSIA,5
AMBROSINI,5
AMBROSINO,10
AMBROSIO,5
AMBROSIUS,5
AMBROSONE,5
AMBROZ,5
AMBROZIAK,5
AMBUEHL,5
AMBURGEY,10
AMBURGY,5
AMBURN,5
AMDAHL,5
AMDERSON,5
AMEDEE,10
AMEDEO,5
AMEDRO,5
AMEDURI,5
AMEEN,5
AMEIGH,5
AMEJORADO,5
AMEL,5
AMELA,5
AMELANG,5
AMELING,5
AMELIO,5
AMELL,5
AMELUNG,5
AMEMIYA,5
AMEN,10
AMEND,10
AMENDOLA,10
AMENT,10
AMENTA,5
AMENTLER,5
AMENTO,5
AMER,5
AMERICA,5
AMERICAN,5
AMERINE,5
AMERIO,5
AMERMAN,5
AMERO,5
AMERSON,20
AMERT,5
AMES,100
AMESBURY,5
AMESCUA,5
AMESQUIETO,5
AMESQUITA,5
AMEY,10
AMEZAGA,5
AMEZCUA,10
AMEZQUITA,10
AMICI,5
AMICK,20
AMICO,10
AMICONE,5
AMIDEI,5
AMIDI,5
AMIDON,10
AMIE,5
AMIGO,5
AMIGON,5
AMILL,5
AMIN,20
AMINI,5
AMINOV,5
AMIOT,5
AMIR,5
AMIRAULT,5
AMIRI,5
AMIRIAN,5
AMIS,10
AMISANO,5
AMISON,5
AMISTADI,5
AMISTOSO,5
AMITH,5
AMLIN,5
AMMANN,5
AMMAR,5
AMMER,5
AMMERMAN,10
AMMIRATA,5
AMMIRATI,5
AMMIRATO,5
AMMON,10
AMMONDS,5
AMMONS,40
AMO,5
AMOA,5
AMOAH,5
AMOAKO,5
AMODEI,5
AMODEO,5
AMODIO,5
AMODT,5
AMOE,5
AMOLSCH,5
AMON,10
AMONETTE,5
AMONS,5
AMOR,5
AMORE,10
AMORELLO,5
AMORES,5
AMORIELLO,5
AMORIM,5
AMORIN,5
AMORMINO,5
AMOROS,5
AMOROSE,5
AMOROSI,5
AMOROSO,10
AMORUSO,5
AMORY,5
AMOS,100
AMOSS,5
AMOTT,5
AMOUR,5
AMOUS,5
AMPARAN,5
AMPARO,5
AMPHY,5
AMPY,5
AMR,5
AMREIN,5
AMRHEIN,5
AMRICH,5
AMRINE,5
AMSBAUGH,5
