mame,male,female,neutral
Ahmau,0,0,1
Ahmed,1,0,1
Ahmet,1,0,0
Ahmik,1,0,0
Ahn,0,0,1
Ahne,0,0,1
Ahnell,0,0,1
Ahner,0,0,1
Aho,0,0,1
Aholt,0,0,1
Ahonen,0,0,1
Ahr,0,0,1
Ahren,1,0,0
Ahrendes,0,0,1
Ahrends,0,0,1
Ahrendt,0,0,1
Ahrenholtz,0,0,1
Ahrenholz,0,0,1
Ahrens,0,0,1
Ahrenstorff,0,0,1
Ahrent,0,0,1
Ahrns,0,0,1
Ahron,1,0,0
Ahsan,0,0,1
Ahsing,0,0,1
Ahuda,0,1,0
Ahuja,0,0,1
Ahumada,0,0,1
Ahuna,0,0,1
Ahuva,0,1,0
Ahyet,0,0,1
Ahyou,0,0,1
Ai,0,1,0
Aiava,0,0,1
Aichele,0,0,1
Aicklen,0,0,1
Aid,0,0,1
Aida,0,1,0
Aidan,1,1,0
Aide,0,1,0
Aideen,0,1,0
Aidia,0,1,0
Aidt,0,0,1
Aiello,0,0,1
Aiesha,0,1,0
Aievoli,0,0,1
Aife,0,1,0
Aifric,0,1,0
Aiglentina,0,1,0
Aiglentine,0,1,0
Aigneis,0,1,0
Aigner,0,0,1
Aihara,0,0,1
Aiken,1,0,1
Aikens,0,0,1
Aikey,0,0,1
Aikin,0,0,1
Aikins,0,0,1
Aikman,0,0,1
Aiko,0,1,0
Aila,0,1,0
Ailat,0,1,0
Aileana,0,1,0
Aileen,0,1,0
Aileene,0,1,0
Ailen,1,0,0
Ailene,0,1,0
Ailes,0,0,1
Ailey,0,1,1
Aili,0,1,0
Ailia,0,1,0
Ailidh,0,1,0
Ailiff,0,0,1
Ailis,0,1,0
Ailisa,0,1,0
Ailise,0,1,0
Ailison,0,1,0
Aills,0,0,1
Ailor,0,0,1
Ailsa,0,1,0
Ailse,0,1,0
Ailshire,0,0,1
Ailsie,0,1,0
Ailstock,0,0,1
Ailsworth,0,0,1
Ailts,0,0,1
Aimbez,0,0,1
Aimee,0,1,0
Aimelin,0,1,0
Aimelyn,0,1,0
Aimery,1,0,0
Aimone,0,0,1
Aimory,1,0,0
Aims,0,1,0
Ain,0,1,0
Aina,0,1,1
Aine,0,1,0
Aineislis,1,0,0
Aines,0,0,1
Ainge,0,0,1
Aingeal,0,1,0
