Code,R,G,B,RGB
PANTONE 476,89,61,43,593D2B
PANTONE 477,99,56,38,633826
PANTONE 478,122,63,40,7A3F28
PANTONE 479,175,137,112,AF8970
PANTONE 480,211,183,163,D3B7A3
PANTONE 481,224,204,186,E0CCBA
PANTONE 482,229,211,193,E5D3C1
PANTONE 483,107,48,33,6B3021
PANTONE 484,155,48,28,9B301C
PANTONE 485,216,30,5,D81E05
PANTONE 485 2X,204,12,0,CC0C00
PANTONE 486,237,158,132,ED9E84
PANTONE 487,239,181,160,EFB5A0
PANTONE 488,242,196,175,F2C4AF
PANTONE 489,242,209,191,F2D1BF
PANTONE 490,91,38,38,5B2626
PANTONE 491,117,40,40,752828
PANTONE 492,145,51,56,913338
PANTONE 494,242,173,178,F2ADB2
PANTONE 495,244,188,191,F4BCBF
PANTONE 496,247,201,198,F7C9C6
PANTONE 497,81,40,38,512826
PANTONE 4975,68,30,28,441E1C
PANTONE 498,109,51,43,6D332B
PANTONE 4985,132,73,73,844949
PANTONE 499,122,56,45,7A382D
PANTONE 4995,165,107,109,A56B6D
PANTONE 500,206,137,140,CE898C
PANTONE 5005,188,135,135,BC8787
PANTONE 501,234,178,178,EAB2B2
PANTONE 5015,216,173,168,D8ADA8
PANTONE 502,242,198,196,F2C6C4
PANTONE 5025,226,188,183,E2BCB7
PANTONE 503,244,209,204,F4D1CC
PANTONE 5035,237,206,198,EDCEC6
PANTONE 504,81,30,38,511E26
PANTONE 505,102,30,43,661E2B
PANTONE 506,122,38,56,7A2638
PANTONE 507,216,137,155,D8899B
PANTONE 508,232,165,175,E8A5AF
PANTONE 509,242,186,191,F2BABF
PANTONE 510,244,198,201,F4C6C9
PANTONE 511,96,33,68,602144
PANTONE 5115,79,33,58,4F213A
PANTONE 512,132,33,107,84216B
PANTONE 5125,117,71,96,754760
PANTONE 513,158,35,135,9E2387
PANTONE 5135,147,107,127,936B7F
PANTONE 514,216,132,188,D884BC
PANTONE 5145,173,135,153,AD8799
PANTONE 515,232,163,201,E8A3C9
PANTONE 5155,204,175,183,CCAFB7
PANTONE 516,242,186,211,F2BAD3
PANTONE 5165,224,201,204,E0C9CC
PANTONE 517,244,204,216,F4CCD8
PANTONE 5175,232,214,209,E8D6D1
PANTONE 518,81,45,68,512D44
PANTONE 5185,71,40,53,472835
PANTONE 519,99,48,94,63305E
PANTONE 5195,89,51,68,593344
PANTONE 520,112,53,114,703572
PANTONE 5205,142,104,119,8E6877
PANTONE 521,181,140,178,B58CB2
PANTONE 5215,181,147,155,B5939B
PANTONE 522,198,163,193,C6A3C1
PANTONE 5225,204,173,175,CCADAF
PANTONE 523,211,183,204,D3B7CC
PANTONE 5235,221,198,196,DDC6C4
PANTONE 524,226,204,211,E2CCD3
PANTONE 5245,229,211,204,E5D3CC
PANTONE 525,81,38,84,512654
PANTONE 5255,53,38,79,35264F
PANTONE 526,104,33,122,68217A
PANTONE 5265,73,61,99,493D63
PANTONE 527,122,30,153,7A1E99
PANTONE 5275,96,86,119,605677
PANTONE 528,175,114,193,AF72C1
PANTONE 5285,140,130,153,8C8299
PANTONE 529,206,163,211,CEA3D3
PANTONE 5295,178,168,181,B2A8B5
PANTONE 530,214,175,214,D6AFD6
PANTONE 5305,204,193,198,CCC1C6
PANTONE 531,229,198,219,E5C6DB
PANTONE 5315,219,211,211,DBD3D3
PANTONE 532,53,56,66,353842
PANTONE 533,53,63,91,353F5B
PANTONE 534,58,73,114,3A4972
PANTONE 535,155,163,183,9BA3B7
PANTONE 536,173,178,193,ADB2C1
PANTONE 537,196,198,206,C4C6CE
PANTONE 538,214,211,214,D6D3D6
PANTONE 539,0,48,73,003049
PANTONE 5395,2,40,58,02283A
PANTONE 540,0,51,91,00335B
PANTONE 5405,63,96,117,3F6075
PANTONE 541,0,63,119,003F77
PANTONE 5415,96,124,140,607C8C
PANTONE 542,102,147,188,6693BC
PANTONE 5425,132,153,165,8499A5
PANTONE 543,147,183,209,93B7D1
PANTONE 5435,175,188,191,AFBCBF
PANTONE 544,183,204,219,B7CCDB
PANTONE 5445,196,204,204,C4CCCC
PANTONE 545,196,211,221,C4D3DD
PANTONE 5455,214,216,211,D6D8D3
PANTONE 546,12,56,68,0C3844
PANTONE 5463,0,53,58,00353A
PANTONE 5467,25,56,51,193833
PANTONE 547,0,63,84,003F54
PANTONE 5473,38,104,109,26686D
PANTONE 5477,58,86,79,3A564F
PANTONE 548,0,68,89,004459
PANTONE 5483,96,145,145,609191
PANTONE 5487,102,124,114,667C72
PANTONE 549,94,153,170,5E99AA
PANTONE 5493,140,175,173,8CAFAD
PANTONE 5497,145,163,153,91A399
PANTONE 550,135,175,191,87AFBF
PANTONE 5503,170,196,191,AAC4BF
PANTONE 5507,175,186,178,AFBAB2
PANTONE 551,163,193,201,A3C1C9
PANTONE 5513,206,216,209,CED8D1
PANTONE 5517,201,206,196,C9CEC4
PANTONE 552,196,214,214,C4D6D6
PANTONE 5523,214,221,214,D6DDD6
PANTONE 5527,206,209,198,CED1C6
PANTONE 553,35,68,53,234435
