ID,Color,RGB,Source
357,LavenderBlush4,8B8386,X11
358,MistyRose1,FFE4E1,X11
359,MistyRose2,EED5D2,X11
360,MistyRose3,CDB7B5,X11
361,MistyRose4,8B7D7B,X11
362,Azure1,F0FFFF,X11
363,Azure2,E0EEEE,X11
364,Azure3,C1CDCD,X11
365,Azure4,838B8B,X11
366,SlateBlue1,836FFF,X11
367,SlateBlue2,7A67EE,X11
368,SlateBlue3,6959CD,X11
369,SlateBlue4,473C8B,X11
370,RoyalBlue1,4876FF,X11
371,RoyalBlue2,436EEE,X11
372,RoyalBlue3,3A5FCD,X11
373,RoyalBlue4,27408B,X11
374,Blue1,0000FF,X11
375,Blue2,0000EE,X11
376,Blue3,0000CD,X11
377,Blue4,00008B,X11
378,DodgerBlue1,1E90FF,X11
379,DodgerBlue2,1C86EE,X11
380,DodgerBlue3,1874CD,X11
381,DodgerBlue4,104E8B,X11
382,SteelBlue1,63B8FF,X11
383,SteelBlue2,5CACEE,X11
384,SteelBlue3,4F94CD,X11
385,SteelBlue4,36648B,X11
386,DeepSkyBlue1,00BFFF,X11
387,DeepSkyBlue2,00B2EE,X11
388,DeepSkyBlue3,009ACD,X11
389,DeepSkyBlue4,00688B,X11
390,SkyBlue1,87CEFF,X11
391,SkyBlue2,7EC0EE,X11
392,SkyBlue3,6CA6CD,X11
393,SkyBlue4,4A708B,X11
394,LightSkyBlue1,B0E2FF,X11
395,LightSkyBlue2,A4D3EE,X11
396,LightSkyBlue3,8DB6CD,X11
397,LightSkyBlue4,607B8B,X11
398,SlateGray1,C6E2FF,X11
399,SlateGray2,B9D3EE,X11
400,SlateGray3,9FB6CD,X11
401,SlateGray4,6C7B8B,X11
402,LightSteelBlue1,CAE1FF,X11
403,LightSteelBlue2,BCD2EE,X11
404,LightSteelBlue3,A2B5CD,X11
405,LightSteelBlue4,6E7B8B,X11
406,LightBlue1,BFEFFF,X11
407,LightBlue2,B2DFEE,X11
408,LightBlue3,9AC0CD,X11
409,LightBlue4,68838B,X11
410,LightCyan1,E0FFFF,X11
411,LightCyan2,D1EEEE,X11
412,LightCyan3,B4CDCD,X11
413,LightCyan4,7A8B8B,X11
414,PaleTurquoise1,BBFFFF,X11
415,PaleTurquoise2,AEEEEE,X11
416,PaleTurquoise3,96CDCD,X11
417,PaleTurquoise4,668B8B,X11
418,CadetBlue1,98F5FF,X11
419,CadetBlue2,8EE5EE,X11
420,CadetBlue3,7AC5CD,X11
421,CadetBlue4,53868B,X11
422,Turquoise1,00F5FF,X11
423,Turquoise2,00E5EE,X11
424,Turquoise3,00C5CD,X11
425,Turquoise4,00868B,X11
426,Cyan1,00FFFF,X11
427,Cyan2,00EEEE,X11
428,Cyan3,00CDCD,X11
429,Cyan4,008B8B,X11
430,DarkSlateGray1,97FFFF,X11
431,DarkSlateGray2,8DEEEE,X11
432,DarkSlateGray3,79CDCD,X11
433,DarkSlateGray4,528B8B,X11
434,Aquamarine1,7FFFD4,X11
435,Aquamarine2,76EEC6,X11
436,Aquamarine3,66CDAA,X11
437,Aquamarine4,458B74,X11
438,DarkSeaGreen1,C1FFC1,X11
439,DarkSeaGreen2,B4EEB4,X11
440,DarkSeaGreen3,9BCD9B,X11
441,DarkSeaGreen4,698B69,X11
442,SeaGreen1,54FF9F,X11
443,SeaGreen2,4EEE94,X11
444,SeaGreen3,43CD80,X11
445,SeaGreen4,2E8B57,X11
446,PaleGreen1,9AFF9A,X11
447,PaleGreen2,90EE90,X11
448,PaleGreen3,7CCD7C,X11
449,PaleGreen4,548B54,X11
450,SpringGreen1,00FF7F,X11
451,SpringGreen2,00EE76,X11
452,SpringGreen3,00CD66,X11
453,SpringGreen4,008B45,X11
454,Green1,00FF00,X11
455,Green2,00EE00,X11
456,Green3,00CD00,X11
457,Green4,008B00,X11
458,Chartreuse1,7FFF00,X11
459,Chartreuse2,76EE00,X11
460,Chartreuse3,66CD00,X11
461,Chartreuse4,458B00,X11
462,OliveDrab1,C0FF3E,X11
463,OliveDrab2,B3EE3A,X11
464,OliveDrab3,9ACD32,X11
465,OliveDrab4,698B22,X11
466,DarkOliveGreen1,CAFF70,X11
467,DarkOliveGreen2,BCEE68,X11
468,DarkOliveGreen3,A2CD5A,X11
469,DarkOliveGreen4,6E8B3D,X11
470,Khaki1,FFF68F,X11
471,Khaki2,EEE685,X11
472,Khaki3,CDC673,X11
473,Khaki4,8B864E,X11
474,LightGoldenrod1,FFEC8B,X11
475,LightGoldenrod2,EEDC82,X11
476,LightGoldenrod3,CDBE70,X11
477,LightGoldenrod4,8B814C,X11
478,LightYellow1,FFFFE0,X11
479,LightYellow2,EEEED1,X11
480,LightYellow3,CDCDB4,X11
481,LightYellow4,8B8B7A,X11
482,Yellow1,FFFF00,X11
483,Yellow2,EEEE00,X11
484,Yellow3,CDCD00,X11
485,Yellow4,8B8B00,X11
486,Gold1,FFD700,X11
487,Gold2,EEC900,X11
488,Gold3,CDAD00,X11
489,Gold4,8B7500,X11
490,Goldenrod1,FFC125,X11
491,Goldenrod2,EEB422,X11
492,Goldenrod3,CD9B1D,X11
493,Goldenrod4,8B6914,X11
494,DarkGoldenrod1,FFB90F,X11
495,DarkGoldenrod2,EEAD0E,X11
496,DarkGoldenrod3,CD950C,X11
497,DarkGoldenrod4,8B6508,X11
498,RosyBrown1,FFC1C1,X11
499,RosyBrown2,EEB4B4,X11
500,RosyBrown3,CD9B9B,X11
