# 🚨
# 🚨 Source: https://wolfberg.net/what/CSWdefs.exe::CSWdefs.txt
# 🚨
	CSW12 (2018-6-27)
potholing	POTHOLING <pothole=v> [v]
potholings	POTHOLINGS <potholing=n> [n]
pothook	POTHOOK a hook on which to hang a pot [n -S]
pothooks	POTHOOKS <pothook=n> [n]
pothos	POTHOS a climbing plant with glossy variegated leaves [n pl.]
pothouse	POTHOUSE a {tavern=n} [n -S]
pothouses	POTHOUSES <pothouse=n> [n]
pothunter	POTHUNTER one who hunts game for food, ignoring the rules of sport.
pothunters	POTHUNTERS <pothunter=n> [n]
pothunting	POTHUNTING one who hunts game for food, ignoring the rules of sport.
pothuntings	POTHUNTINGS <pothunting=n> [n]
poticaries	POTICARIES <poticary=n> [n]
poticary	POTICARY an apothecary, a druggist [n POTICARIES]
potiche	POTICHE a type of {vase=n} [n -S]
potiches	POTICHES <potiche=n> [n]
potichomania	POTICHOMANIA
potichomanias	POTICHOMANIAS <potichomania=n> [n]
potin	POTIN a type of alloy [n -S]
poting	POTING <pote=v> [v]
potins	POTINS <potin=n> [n]
potion	POTION a magical elixir or medicinal drink [n -S]
potions	POTIONS <potion=n> [n]
potjie	POTJIE a three-legged iron pot used for cooking over a wood fire [n -S]
potjies	POTJIES <potjie=n> [n]
potlach	POTLACH an Indian winter festival, also POTLACHE [n -ES]
potlache	POTLACHE an Indian winter festival, also POTLACH [n -S]
potlaches	POTLACHES <potlach=n> [n]
potlatch	POTLATCH to host a ceremonial feast [v -ED, -ING, -ES]
potlatched	POTLATCHED <potlatch=v> [v]
potlatches	POTLATCHES <potlatch=v> [v]
potlatching	POTLATCHING <potlatch=v> [v]
potlike	POTLIKE resembling a pot [adj]
potline	POTLINE a row of electrolytic cells [n -S]
potlines	POTLINES <potline=n> [n]
potluck	POTLUCK food that happens to be available [n -S]
potlucks	POTLUCKS <potluck=n> [n]
potman	POTMAN a man who serves customers in a tavern [n POTMEN]
potmen	POTMEN <potman=n> [n]
potometer	POTOMETER (Life Sciences & Allied Applications / Botany) an apparatus that measures the rate of water uptake by a plant or plant part [from Latin p&#x14D;t&#x101;re to drink + -meter]
potometers	POTOMETERS <potometer=n> [n]
potoo	POTOO a type of bird [n -S]
potoos	POTOOS <potoo=n> [n]
potoroo	POTOROO the rat-kangaroo [n -S]
potoroos	POTOROOS <potoroo=n> [n]
potpie	POTPIE a deep-dish pie with meat and vegetables [n -S]
potpies	POTPIES <potpie=n> [n]
potpourri	POTPOURRI a medley or mixture
potpourris	POTPOURRIS <potpourri=n> [n]
pots	POTS <pot=v> [v]
potshard	POTSHARD a fragment of broken pottery, also POTSHERD, POTSHARE [n -S]
potshards	POTSHARDS <potshard=n> [n]
potshare	POTSHARE a fragment of broken pottery, also POTSHERD, POTSHARD [n -S]
potshares	POTSHARES <potshare=n> [n]
potsherd	POTSHERD a fragment of broken pottery, also POTSHARD, POTSHARE [n -S]
potsherds	POTSHERDS <potsherd=n> [n]
potshop	POTSHOP a small public house [n -S]
potshops	POTSHOPS <potshop=n> [n]
potshot	POTSHOT to shoot randomly at [v POTSHOT, POTSHOTTING, POTSHOTS]
potshots	POTSHOTS <potshot=v> [v]
potshotting	POTSHOTTING <potshot=v> [v]
potsie	POTSIE a children's game, also POTSY [n -S]
potsies	POTSIES <potsy=n> [n]
potstone	POTSTONE impure talc or steatite [n -S]
potstones	POTSTONES <potstone=n> [n]
potsy	POTSY a children's game, also POTSIE [n POTSIES]
pott	POTT a size of paper [n -S]
pottable	POTTABLE capable of being potted [adj]
pottage	POTTAGE a thick soup [n -S]
pottages	POTTAGES <pottage=n> [n]
potted	POTTED <pot=v> [v]
potteen	POTTEEN Irish whiskey distilled unlawfully, also POTEEN, POTHEEN, POITIN [n -S]
potteens	POTTEENS <potteen=n> [n]
potter	POTTER to occupy oneself in a leisurely or ineffective manner, also PUTTER [v -ED, -ING, -S]
pottered	POTTERED <potter=v> [v]
potterer	POTTERER one who {potters=v} [n -S]
potterers	POTTERERS <potterer=n> [n]
potteries	POTTERIES <pottery=n> [n]
pottering	POTTERING <potter=v> [v]
potteringly	POTTERINGLY <pottering=adj> [adv]
potterings	POTTERINGS <pottering=n> [n]
potters	POTTERS <potter=v> [v]
pottery	POTTERY articles moulded from clay and hardened by heat [n POTTERIES]
pottier	POTTIER <potty=adj> [adj]
potties	POTTIES <potty=n> [n]
pottiest	POTTIEST <potty=adj> [adj]
pottiness	POTTINESS pottier, pottiest Chiefly British of little importance; trivial.
pottinesses	POTTINESSES <pottiness=n> [n]
potting	POTTING <pot=v> [v]
pottingar	POTTINGAR
pottingars	POTTINGARS <pottingar=n> [n]
pottinger	POTTINGER POTTING <pot=v>
pottingers	POTTINGERS <pottinger=n> [n]
pottle	POTTLE a drinking vessel [n -S]
pottles	POTTLES <pottle=n> [n]
potto	POTTO a lemur or kinkajou [n -S]
pottos	POTTOS <potto=n> [n]
potts	POTTS <pott=n> [n]
potty	POTTY a child's chamber pot [n POTTIES] / {crazy=adj} [adj POTTIER, POTTIEST]
pottymouth	POTTYMOUTH  (Informal) a person who habitually uses foul language
pottymouths	POTTYMOUTHS <pottymouth=n> [n]
potwaller	POTWALLER
potwallers	POTWALLERS <potwaller=n> [n]
potzer	POTZER an inept chess player [n -S]
potzers	POTZERS <potzer=n> [n]
pouch	POUCH to put in a pocket-like receptacle [v -ED, -ING, -ES]
pouched	POUCHED <pouch=v> [v]
pouches	POUCHES <pouch=v> [v]
pouchful	POUCHFUL as much as a pouch can hold [n -S]
pouchfuls	POUCHFULS <pouchful=n> [n]
pouchier	POUCHIER <pouchy=adj> [adj]
pouchiest	POUCHIEST <pouchy=adj> [adj]
pouching	POUCHING <pouch=v> [v]
pouchy	POUCHY resembling a pouch [adj POUCHIER, POUCHIEST]
pouder	POUDER powder, also POUDRE [n -S]
pouders	POUDERS <pouder=n> [n]
poudre	POUDRE powder, also POUDER [n -S]
poudres	POUDRES <poudre=n> [n]
pouf	POUF to give a puffed shape to the hair, also POUFF, POUFFE [v -ED, -ING, -S]
poufed	POUFED <pouf=v> [v]
pouff	POUFF to give a puffed shape to the hair (pa t POUFFED, POUFFED), also POUF, POUFFE [v -ED, -ING, -S]
pouffe	POUFFE to give a puffed shape to the hair, also POUF, POUFF [v POUFFED, POUFFING, POUFFES]
pouffed	POUFFED <pouffe=v> [v]
pouffes	POUFFES <pouffe=v> [v]
pouffier	POUFFIER <pouffy=adj> [adj]
pouffiest	POUFFIEST <pouffy=adj> [adj]
pouffing	POUFFING <pouffe=v> [v]
pouffs	POUFFS <pouff=v> [v]
pouffy	POUFFY effeminate, also POOFY, POOVY [adj POUFFIER, POUFFIEST]
poufing	POUFING <pouf=v> [v]
poufs	POUFS <pouf=v> [v]
pouftah	POUFTAH (offensive) a male homosexual, also POOF, POOVE, POOFTER, POUFTER, WOOFTER [n -S]
pouftahs	POUFTAHS <pouftah=n> [n]
poufter	POUFTER (offensive) a male homosexual, also POOF, POOVE, POOFTER, POOFTAH, POUFTAH, WOOFTER [n -S]
poufters	POUFTERS <poufter=n> [n]
pouk	POUK to {pluck=v} [v POUKIT, POUKING, POUKS]
pouke	POUKE a {goblin=n} [n -S]
poukes	POUKES <pouke=n> [n]
pouking	POUKING <pouk=v> [v]
poukit	POUKIT <pouk=v> [v]
pouks	POUKS <pouk=v> [v]
poulaine	POULAINE a long, pointed shoe-toe [n -S]
poulaines	POULAINES <poulaine=n> [n]
poulard	POULARD a spayed hen, also POULARDE [n -S]
poularde	POULARDE a spayed hen, also POULARD [n -S]
poulardes	POULARDES <poularde=n> [n]
poulards	POULARDS <poulard=n> [n]
poulder	POULDER powder [n -S]
poulders	POULDERS <poulder=n> [n]
pouldre	POULDRE powder [n -S]
pouldres	POULDRES <pouldre=n> [n]
pouldron	POULDRON a shoulder-plate in armour [n -S]
pouldrons	POULDRONS <pouldron=n> [n]
poule	POULE a {hen=n} [n -S]
poules	POULES <poule=n> [n]
poulp	POULP the {octopus=n} [n -S]
poulpe	POULPE the {octopus=n} [n -S]
poulpes	POULPES <poulpe=n> [n]
poulps	POULPS <poulp=n> [n]
poult	POULT a young domestic fowl [n -S]
poulter	POULTER one who deals in poultry [n -S]
poulterer	POULTERER one who deals in poultry.
poulterers	POULTERERS <poulterer=n> [n]
poulters	POULTERS <poulter=n> [n]
poultice	POULTICE to apply a hot, healing substance [v POULTICED, POULTICING, POULTICES]
poulticed	POULTICED <poultice=v> [v]
poultices	POULTICES <poultice=v> [v]
poulticing	POULTICING <poultice=v> [v]
poultries	POULTRIES <poultry=n> [n]
poultroone	POULTROONE
poultroones	POULTROONES <poultroone=n> [n]
poultry	POULTRY farmyard fowls collectively [n POULTRIES]
poultryman	POULTRYMAN  pl. -trymen, -terers 1. (Life Sciences & Allied Applications / Agriculture) Also called chicken farmer a person who rears domestic fowls, esp. chickens, for their eggs or meat
poultrymen	POULTRYMEN POULTRY farmyard fowls collectively
poults	POULTS <poult=n> [n]
pounce	POUNCE to swoop upon suddenly [v POUNCED, POUNCING, POUNCES]
pounced	POUNCED <pounce=v> [v]
pouncer	POUNCER one that {pounces=v} [n -S]
pouncers	POUNCERS <pouncer=n> [n]
pounces	POUNCES <pounce=v> [v]
pouncet	POUNCET a {pomander=n} [n -S]
pouncets	POUNCETS <pouncet=n> [n]
pounching	POUNCHING POUNCE to swoop upon suddenly
pouncing	POUNCING <pounce=v> [v]
pound	POUND to strike heavily and repeatedly [v -ED, -ING, -S]
poundage	POUNDAGE the act of {impounding=v} [n -S]
poundages	POUNDAGES <poundage=n> [n]
poundal	POUNDAL a unit of force [n -S]
poundals	POUNDALS <poundal=n> [n]
poundcake	POUNDCAKE a kind of rich, sweet cake; so called from the ingredients being used by pounds, or in equal quantities.
poundcakes	POUNDCAKES <poundcake=n> [n]
pounded	POUNDED <pound=v> [v]
pounder	POUNDER one that {pounds=v} [n -S]
pounders	POUNDERS <pounder=n> [n]
pounding	POUNDING the act of striking heavily and repeatedly [n -S]
poundings	POUNDINGS <pounding=n> [n]
pounds	POUNDS <pound=v> [v]
poupe	POUPE to {befool=v} [v POUPED, POUPT, POUPING, POUPES]
pouped	POUPED <poupe=v> [v]
poupes	POUPES <poupe=v> [v]
pouping	POUPING <poupe=v> [v]
poupt	POUPT <poupe=v> [v]
pour	POUR to cause to flow [v -ED, -ING, -S]
pourable	POURABLE able to be poured [adj]
pourboire	POURBOIRE money given as a gratuity; a tip.
pourboires	POURBOIRES <pourboire=n> [n]
poured	POURED <pour=v> [v]
pourer	POURER one that {pours=v} [n -S]
pourers	POURERS <pourer=n> [n]
pourie	POURIE a cream jug [n -S]
pouries	POURIES <pourie=n> [n]
pouring	POURING the act of pouring [n -S]
pouringly	POURINGLY POURING the act of pouring
pourings	POURINGS <pouring=n> [n]
pourparler	POURPARLER a consultation preliminary to a treaty.
pourparlers	POURPARLERS <pourparler=n> [n]
pourpoint	POURPOINT a quilted military doublet or gambeson worn in the 14th and 15th centuries; also, a name for the doublet of the 16th and 17th centuries worn by civilians.
pourpoints	POURPOINTS <pourpoint=n> [n]
pours	POURS <pour=v> [v]
poursew	POURSEW to follow, in order to overtake or capture, also PURSUE, PERSUE, POURSUE, PURSEW [v -ED, -ING, -S]
poursewed	POURSEWED <poursew=v> [v]
poursewing	POURSEWING <poursew=v> [v]
poursews	POURSEWS <poursew=v> [v]
poursue	POURSUE to follow, in order to overtake or capture, also PURSUE, PERSUE, POURSEW, PURSEW [v POURSUED, POURSUING, POURSUES]
poursued	POURSUED <poursue=v> [v]
poursues	POURSUES <poursue=v> [v]
poursuing	POURSUING <poursue=v> [v]
poursuit	POURSUIT {pursuit=n} [n -S]
poursuits	POURSUITS <poursuit=n> [n]
pourtrahed	POURTRAHED
pourtraict	POURTRAICT
pourtraicts	POURTRAICTS <pourtraict=n> [n]
pourtray	POURTRAY to {portray=v} [v POURTRAYED, PURTRAID or PURTRAYD, POURTRAYING, POURTRAYS]
pourtrayd	POURTRAYD
pourtrayed	POURTRAYED <pourtray=v> [v]
pourtraying	POURTRAYING <pourtray=v> [v]
pourtrays	POURTRAYS <pourtray=v> [v]
pousada	POUSADA a traditional hotel in Portugal or Portugese speaking countries [n -S]
pousadas	POUSADAS <pousada=n> [n]
pousowdie	POUSOWDIE
pousowdies	POUSOWDIES <pousowdie=n> [n]
pousse	POUSSE {pease=n} [n -S]
pousses	POUSSES <pousse=n> [n]
poussette	POUSSETTE a movement, or part of a figure, in the contradance.
poussetted	POUSSETTED POUSSETTE a movement, or part of a figure, in the contradance.
poussettes	POUSSETTES <poussette=n> [n]
poussetting	POUSSETTING POUSSETTE a movement, or part of a figure, in the contradance.
poussie	POUSSIE a cat, also PUSSY [n -S]
poussies	POUSSIES <poussie=n> [n]
poussin	POUSSIN a four to six weeks old chicken [n -S]
poussins	POUSSINS <poussin=n> [n]
pout	POUT to protrude the lips in ill humour [v -ED, -ING, -S]
pouted	POUTED <pout=v> [v]
pouter	POUTER one that {pouts=v} [n -S]
pouters	POUTERS <pouter=n> [n]
poutful	POUTFUL {pouty=adj} [adj]
pouther	POUTHER to {powder=v} [v -ED, -ING, -S]
pouthered	POUTHERED <pouther=v> [v]
pouthering	POUTHERING <pouther=v> [v]
pouthers	POUTHERS <pouther=v> [v]
poutier	POUTIER <pouty=adj> [adj]
poutiest	POUTIEST <pouty=adj> [adj]
poutine	POUTINE a dish of french fries and cheese curds topped with gravy [n -S]
poutines	POUTINES <poutine=n> [n]
pouting	POUTING the whiting pout [n -S]
poutingly	POUTINGLY in a pouting, or a sullen, manner.
poutings	POUTINGS <pouting=n> [n]
pouts	POUTS <pout=v> [v]
pouty	POUTY tending to pout [adj POUTIER, POUTIEST]
poverties	POVERTIES <poverty=n> [n]
poverty	POVERTY the state of being {poor=adj} [n POVERTIES]
pow	POW an explosive sound [n -S]
powan	POWAN a species of whitefish [n -S]
powans	POWANS <powan=n> [n]
powder	POWDER to reduce to fine dust-like particles [v -ED, -ING, -S]
powdered	POWDERED <powder=v> [v]
powderer	POWDERER one that {powders=v} [n -S]
powderers	POWDERERS <powderer=n> [n]
powderier	POWDERIER <powdery=adj> [adj]
powderiest	POWDERIEST <powdery=adj> [adj]
powdering	POWDERING <powder=v> [v]
powderless	POWDERLESS POWDER to reduce to fine dust-like particles
powderlike	POWDERLIKE
powders	POWDERS <powder=v> [v]
powdery	POWDERY like powder [adj POWDERIER, POWDERIEST]
powellise	POWELLISE POWELLISE
powellised	POWELLISED POWELLISE
powellises	POWELLISES <powellise=n> [n]
powellising	POWELLISING POWELLISE
powellite	POWELLITE
powellites	POWELLITES <powellite=n> [n]
powellize	POWELLIZE POWELLIZE
powellized	POWELLIZED POWELLIZE
powellizes	POWELLIZES <powellize=n> [n]
powellizing	POWELLIZING POWELLIZE
power	POWER to equip with mechanical force [v -ED, -ING, -S]
powerboat	POWERBOAT see motorboat.
powerboating	POWERBOATING <powerboat=v> [v]
powerboatings	POWERBOATINGS POWERBOATING <powerboat=v>
powerboats	POWERBOATS <powerboat=n> [n]
powered	POWERED <power=v> [v]
powerful	POWERFUL full of power [adj]
powerfully	POWERFULLY POWERFUL full of power
powerfulness	POWERFULNESS POWERFUL full of power
powerfulnesses	POWERFULNESSES <powerfulness=n> [n]
powerhouse	POWERHOUSE see power plant.
powerhouses	POWERHOUSES <powerhouse=n> [n]
powering	POWERING <power=v> [v]
powerless	POWERLESS destitute of power, force, or energy; weak; impotent; not able to produce any effect.
powerlessly	POWERLESSLY <powerless=adj> [adv]
powerlessness	POWERLESSNESS <powerless=adj> [n]
powerlessnesses	POWERLESSNESSES POWERLESSNESS <powerless=adj>
powerlifter	POWERLIFTER a weightlifting competition in which participants compete in the squat, dead lift, and bench press.
powerlifters	POWERLIFTERS <powerlifter=n> [n]
powerlifting	POWERLIFTING a weightlifting competition in which participants compete in the squat, dead lift, and bench press.
powerliftings	POWERLIFTINGS <powerlifting=n> [n]
powerplay	POWERPLAY POWER to equip with mechanical force
powerplays	POWERPLAYS <powerplay=n> [n]
powers	POWERS <power=v> [v]
powertrain	POWERTRAIN
powertrains	POWERTRAINS <powertrain=n> [n]
powfagged	POWFAGGED  Northern English  dialect exhausted
powhiri	POWHIRI a Maori ceremony of welcome to a marae, also POHIRI [n -S]
powhiris	POWHIRIS <powhiri=n> [n]
powin	POWIN a peacock [n -S]
powins	POWINS <powin=n> [n]
pown	POWN a peacock [n -S]
pownd	POWND to beat with the fists [v -ED, -ING, -S]
pownded	POWNDED <pownd=v> [v]
pownding	POWNDING <pownd=v> [v]
pownds	POWNDS <pownd=v> [v]
powney	POWNEY a pony, also POWNY, POWNIE [n -S]
powneys	POWNEYS <powney=n> [n]
pownie	POWNIE a pony, also POWNY, POWNEY [n -S]
pownies	POWNIES <powny=n> [n]
powns	POWNS <pown=n> [n]
powny	POWNY a pony, also POWNEY, POWNIE [n POWNIES]
powre	POWRE to {pour=v} [v POWRED, POWRING, POWRES]
powred	POWRED <powre=v> [v]
powres	POWRES <powre=v> [v]
powring	POWRING <powre=v> [v]
pows	POWS <pow=n> [n]
powsowdies	POWSOWDIES <powsowdy=n> [n]
powsowdy	POWSOWDY a mixture of food [n POWSOWDIES]
powter	POWTER to {poke=v} [v -ED, -ING, -S]
powtered	POWTERED <powter=v> [v]
powtering	POWTERING <powter=v> [v]
powters	POWTERS <powter=v> [v]
powwaw	POWWAW pooh [interj]
powwow	POWWOW to confer, also PAWAW [v -ED, -ING, -S]
powwowed	POWWOWED <powwow=v> [v]
powwowing	POWWOWING <powwow=v> [v]
powwows	POWWOWS <powwow=v> [v]
pox	POX to infect with syphilis [v -ED, -ING, -ES]
poxed	POXED <pox=v> [v]
poxes	POXES <pox=v> [v]
poxier	POXIER <poxy=adj> [adj]
poxiest	POXIEST <poxy=adj> [adj]
poxing	POXING <pox=v> [v]
poxvirus	POXVIRUS a type of {virus=n} [n -ES]
poxviruses	POXVIRUSES <poxvirus=n> [n]
poxy	POXY {dirty=adj} [adj POXIER, POXIEST]
poynant	POYNANT {poignant=adj} [adj]
poynt	POYNT to {point=v} [v -ED, -ING, -S]
poynted	POYNTED <poynt=v> [v]
poynting	POYNTING <poynt=v> [v]
poynts	POYNTS <poynt=v> [v]
poyou	POYOU an armadillo [n -S]
poyous	POYOUS <poyou=n> [n]
poyse	POYSE to {poise=v} [v POYSED, POYSING, POYSES]
poysed	POYSED <poyse=v> [v]
poyses	POYSES <poyse=v> [v]
poysing	POYSING <poyse=v> [v]
poyson	POYSON to {poison=v} [v -ED, -ING, -S]
poysoned	POYSONED <poyson=v> [v]
poysoning	POYSONING <poyson=v> [v]
poysons	POYSONS <poyson=v> [v]
poz	POZ positive, also POZZ [adj]
pozole	POZOLE a thick soup made of pork, corn, garlic, and chili, also POSOLE [n -S]
pozoles	POZOLES <pozole=n> [n]
pozz	POZZ positive, also POZ [adj]
pozzies	POZZIES <pozzy=n> [n]
pozzolan	POZZOLAN a finely divided material used to make cement [n -S]
pozzolana	POZZOLANA Volcanic ashes from Pozzuoli, in Italy, used in the manufacture of a kind of mortar which hardens under water.
pozzolanas	POZZOLANAS <pozzolana=n> [n]
pozzolanic	POZZOLANIC POZZOLAN a finely divided material used to make cement
pozzolans	POZZOLANS <pozzolan=n> [n]
pozzuolana	POZZUOLANA a siliceous volcanic ash used to produce hydraulic cement.
pozzuolanas	POZZUOLANAS <pozzuolana=n> [n]
pozzy	POZZY a position [n POZZIES]
praam	PRAAM a flat-bottomed boat, also PRAM [n -S]
praams	PRAAMS <praam=n> [n]
prabble	PRABBLE a brawl, also PRIBBLE [n -S]
prabbles	PRABBLES <prabble=n> [n]
pracharak	PRACHARAK (Government, Politics & Diplomacy) (in India) a person appointed to propagate a cause through personal contact, meetings, public lectures, etc. [Hindi]
pracharaks	PRACHARAKS <pracharak=n> [n]
practic	PRACTIC practical experience, also PRACTICK [n -S]
practicability	PRACTICABILITY the quality or state of being practicable; practicableness; feasibility.
practicable	PRACTICABLE that may be practiced or performed; capable of being done or accomplished with available means or resources; feasible; as, a practicable method; a practicable aim; a practicable good.
practicableness	PRACTICABLENESS <practicable=adj> [n]
practicably	PRACTICABLY PRACTICE to train or drill in order to acquire skill, also PRACTISE
practical	PRACTICAL of or pertaining to practice or action.
practicalism	PRACTICALISM PRACTICAL of or pertaining to practice or action.
practicalisms	PRACTICALISMS <practicalism=n> [n]
practicalist	PRACTICALIST PRACTICAL of or pertaining to practice or action.
practicalists	PRACTICALISTS <practicalist=n> [n]
practicalities	PRACTICALITIES <practicality=n> [n]
practicality	PRACTICALITY the quality or state of being practical; practicalness.
practically	PRACTICALLY 1. in a practical way; not theoretically; really; as, to look at things practically; practically worthless.
practicalness	PRACTICALNESS same as Practicality.
practicalnesses	PRACTICALNESSES PRACTICALNESS same as Practicality.
practicals	PRACTICALS <practical=n> [n]
practice	PRACTICE to train or drill in order to acquire skill, also PRACTISE [v PRACTICED, PRACTICING, PRACTICES]
practiced	PRACTICED <practice=v> [v]
practicer	PRACTICER one who practices, or puts in practice; one who customarily performs certain acts.
practicers	PRACTICERS <practicer=n> [n]
practices	PRACTICES <practice=v> [v]
practician	PRACTICIAN one who is acquainted with, or skilled in, anything by practice; a practitioner.
practicians	PRACTICIANS <practician=n> [n]
practicing	PRACTICING <practice=v> [v]
practick	PRACTICK practical experience, also PRACTIC [n -S]
practicks	PRACTICKS <practick=n> [n]
practics	PRACTICS <practic=n> [n]
practicum	PRACTICUM a school or college course, especially one in a specialized field of study, that is designed to give students supervised practical application of previously studied theory: advanced practicums in teaching reading.
practicums	PRACTICUMS <practicum=n> [n]
practique	PRACTIQUE
practiques	PRACTIQUES <practique=n> [n]
practisant	PRACTISANT an agent or confederate in treachery.
practisants	PRACTISANTS <practisant=n> [n]
practise	PRACTISE to train or drill in order to acquire skill, also PRACTICE [v PRACTISED, PRACTISING, PRACTISES]
practised	PRACTISED <practise=v> [v]
practiser	PRACTISER PRACTISE to train or drill in order to acquire skill, also PRACTICE
practisers	PRACTISERS <practiser=n> [n]
practises	PRACTISES <practise=v> [v]
practising	PRACTISING <practise=v> [v]
practitioner	PRACTITIONER one who is engaged in the actual use or exercise of any art or profession, particularly that of law or medicine.
practitioners	PRACTITIONERS <practitioner=n> [n]
practive	PRACTIVE practical [adj]
practolol	PRACTOLOL
practolols	PRACTOLOLS <practolol=n> [n]
prad	PRAD a horse [n -S]
prads	PRADS <prad=n> [n]
praeamble	PRAEAMBLE
praeambles	PRAEAMBLES <praeamble=n> [n]
praecipe	PRAECIPE a legal writ, also PRECIPE [n -S]
praecipes	PRAECIPES <praecipe=n> [n]
praecoces	PRAECOCES
praecocial	PRAECOCIAL
praecordial	PRAECORDIAL
praedial	PRAEDIAL a rural slave, also PREDIAL [n -S]
praedialities	PRAEDIALITIES <praediality=n> [n]
praediality	PRAEDIALITY PRAEDIAL a rural slave, also PREDIAL
praedials	PRAEDIALS <praedial=n> [n]
praefect	PRAEFECT an ancient Roman official, also PREFECT [n -S]
praefectorial	PRAEFECTORIAL
praefects	PRAEFECTS <praefect=n> [n]
praelect	PRAELECT to lecture, also PRELECT [v -ED, -ING, -S]
praelected	PRAELECTED <praelect=v> [v]
praelecting	PRAELECTING <praelect=v> [v]
praelects	PRAELECTS <praelect=v> [v]
praeludia	PRAELUDIA
praeludium	PRAELUDIUM
praemunire	PRAEMUNIRE the offense under English law of appealing to or obeying a foreign court or authority, thus challenging the supremacy of the Crown.
praemunires	PRAEMUNIRES <praemunire=n> [n]
praenomen	PRAENOMEN pl. praenomens or praenomina (-n m -n , -n m -) a first or given name.
praenomens	PRAENOMENS <praenomen=n> [n]
praenomina	PRAENOMINA pl. praenomens or praenomina (-n m -n , -n m -) a first or given name.
praenominal	PRAENOMINAL PRAENOMINA
praenominally	PRAENOMINALLY <praenominal=adj> [adv]
praepostor	PRAEPOSTOR
praepostors	PRAEPOSTORS <praepostor=n> [n]
praeses	PRAESES a chairman or president, also PRESES [n PRESES]
praesidia	PRAESIDIA
praesidium	PRAESIDIUM (Government, Politics & Diplomacy) a variant spelling of presidium PRESSWOMAN (esp Brit: = reporter ) &#x2192; Zeitungsfrau  f, &#x2192; Pressefrau  f (Typ) &#x2192; Druckerin  f PRESSWOMEN (esp Brit: = reporter ) &#x2192; Zeitungsf
praesidiums	PRAESIDIUMS <praesidium=n> [n]
praetor	PRAETOR an ancient Roman magistrate, also PRETOR [n -S]
praetorial	PRAETORIAL PRAETOR an ancient Roman magistrate, also PRETOR
praetorian	PRAETORIAN of or relating to a praetor or the praetorship.
praetorians	PRAETORIANS <praetorian=n> [n]
praetorium	PRAETORIUM
praetoriums	PRAETORIUMS <praetorium=n> [n]
praetors	PRAETORS <praetor=n> [n]
praetorship	PRAETORSHIP an annually elected magistrate of the ancient Roman Republic, ranking below but having approximately the same functions as a consul.
praetorships	PRAETORSHIPS <praetorship=n> [n]
pragmatic	PRAGMATIC one skilled in affairs.
pragmatical	PRAGMATICAL of or pertaining to business or to affairs; of the nature of business; practical; material; businesslike in habit or manner.
pragmaticality	PRAGMATICALITY PRAGMATICAL of or pertaining to business or to affairs; of the nature of business; practical; material; businesslike in habit or manner.
pragmatically	PRAGMATICALLY in a pragmatical manner.
pragmaticalness	PRAGMATICALNESS the quality or state of being pragmatical.
pragmaticism	PRAGMATICISM PRAGMATIC one skilled in affairs.
pragmaticisms	PRAGMATICISMS <pragmaticism=n> [n]
pragmaticist	PRAGMATICIST PRAGMATIC one skilled in affairs.
pragmaticists	PRAGMATICISTS <pragmaticist=n> [n]
pragmatics	PRAGMATICS <pragmatic=n> [n]
pragmatisation	PRAGMATISATION PRAGMATISE
pragmatisations	PRAGMATISATIONS <pragmatisation=n> [n]
pragmatise	PRAGMATISE PRAGMATISE
pragmatised	PRAGMATISED PRAGMATISE
pragmatiser	PRAGMATISER PRAGMATISE
pragmatisers	PRAGMATISERS <pragmatiser=n> [n]
pragmatises	PRAGMATISES <pragmatise=n> [n]
pragmatising	PRAGMATISING PRAGMATISE
pragmatism	PRAGMATISM the quality or state of being pragmatic; in literature, the pragmatic, or philosophical, method.
pragmatisms	PRAGMATISMS <pragmatism=n> [n]
pragmatist	PRAGMATIST one who is pragmatic.
pragmatistic	PRAGMATISTIC PRAGMATIST one who is pragmatic.
pragmatists	PRAGMATISTS <pragmatist=n> [n]
pragmatization	PRAGMATIZATION PRAGMATIZE to consider, represent, or embody (something unreal) as fact; to materialize.
pragmatizations	PRAGMATIZATIONS <pragmatization=n> [n]
pragmatize	PRAGMATIZE to consider, represent, or embody (something unreal) as fact; to materialize.
pragmatized	PRAGMATIZED PRAGMATIZE to consider, represent, or embody (something unreal) as fact; to materialize.
pragmatizer	PRAGMATIZER PRAGMATIZE to consider, represent, or embody (something unreal) as fact; to materialize.
pragmatizers	PRAGMATIZERS <pragmatizer=n> [n]
pragmatizes	PRAGMATIZES <pragmatize=n> [n]
pragmatizing	PRAGMATIZING PRAGMATIZE to consider, represent, or embody (something unreal) as fact; to materialize.
prahu	PRAHU a swift Malaysian sailing vessel, also PRAU, PRAO, PROA [n -S]
prahus	PRAHUS <prahu=n> [n]
prairie	PRAIRIE a grass-covered treeless plain [n -S]
prairied	PRAIRIED having prairie land [adj]
prairies	PRAIRIES <prairie=n> [n]
praise	PRAISE to express admiration or approval of [v PRAISED, PRAISING, PRAISES]
praiseach	PRAISEACH
praiseachs	PRAISEACHS <praiseach=n> [n]
praised	PRAISED <praise=v> [v]
praiseful	PRAISEFUL Praiseworthy.
praiseless	PRAISELESS without praise or approbation.
praiser	PRAISER one who {praises=v} [n -S]
praisers	PRAISERS <praiser=n> [n]
praises	PRAISES <praise=v> [v]
praiseworthily	PRAISEWORTHILY in a praiseworthy manner.
praiseworthy	PRAISEWORTHY worthy of praise or applause; commendable; as, praiseworthy action; he was praiseworthy.
