# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
-gauge	45	41
-gauges	1	1
-Gavotte	1	1
-Gee	1	1
-Geismer	1	1
-general	1	1
-General	1	1
-GET-HAlR	1	1
-Get	11	9
-gets	1	1
-getting	2	2
-Geulah	1	1
-gig	2	2
-gigahertz	1	1
-gigawatt	1	1
-Give	6	5
-Glad	1	1
-GO-FREE	1	1
-go	1	1
-Go	13	9
-God	2	2
-Goddamit	1	1
-Goin	1	1
-going	2	2
-good	1	1
-Good	21	14
-Goodbye	4	3
-Goop	2	1
-got	1	1
-Got	2	2
-Grab	1	1
-grain	3	2
-grand-a-year	1	1
-grand	3	3
-Great	4	4
-Grounded	1	1
-guided	1	1
-gun	12	9
-gunner	4	2
-gusts	1	1
-Guys	2	2
-H	23	16
-Ha	1	1
-had	2	2
-Had	2	2
-hair	1	1
-Half	1	1
-handed	1	1
-Hang	1	1
-Hannelore	1	1
-Happy	2	2
-Harass	1	1
-Hard	1	1
-Harry	2	2
-Haruka	1	1
-has	1	1
-Have	4	4
-he	7	6
-He	21	13
-head-on	1	1
-Headed	1	1
-hearing	1	1
-heart	1	1
-Heather	4	3
-Heavyweight	1	1
-hectare	1	1
-HelIo	2	2
-Hello	22	17
-HENRY	1	1
-Her	1	1
-Herd	1	1
-here	1	1
-Here	5	5
-hero	1	1
-hey	1	1
-Hey	30	16
-Hi	19	12
-Hill	1	1
-Him	1	1
-himself	1	1
-hips	1	1
-his-name	1	1
-His-Name	1	1
-his	1	1
-His	1	1
-Hiya	1	1
-Hmm-hmm	1	1
-Hmm	5	2
-Hobbes	1	1
-Hold	3	3
-hole	4	4
-Honey	1	1
-hoo	1	1
-Horror	1	1
-horsepower	7	6
-hot	1	1
-Hot	1	1
-hour-a-day	5	4
-hour-a-week	1	1
-hour-trip	1	1
-hour-week	1	1
-hour	262	234
-hours	3	3
-house	1	1
-houses	1	1
-how	1	1
-How	36	21
-Howard	2	2
-however	1	1
-huh	1	1
-Huh	1	1
-Humor	1	1
-Hurricane	1	1
-Hurry	1	1
-I-m	1	1
-I-O	1	1
-I	219	87
-Iane	1	1
-Ib	2	2
-Idiot	1	1
-Ieft-three-zero	1	1
-Ietter	1	1
-if	1	1
-If	7	6
-ifths	1	1
-IH	1	1
-Illusion	1	1
-illusions	1	1
-Imagine	1	1
-in-	6	5
-in-the-dark	1	1
-in-the-morning	2	2
-in	10	10
-In	5	5
-inch-grass	1	1
-inch-thick	1	1
-inch	131	101
-incher-	1	1
-incher	1	1
-inches	2	2
-inchplasma	1	1
-Including	1	1
-Incomparabilis	1	1
-increments	1	1
-ing	12	10
-Io	1	1
-Iove	1	1
-iron	43	13
-is	4	4
-Is	6	5
-ish	24	22
-ISH	1	1
-Israeli	2	2
-issue	1	1
-ists	1	1
-it-takes	1	1
-it	9	6
-It	44	26
-item-or-less	1	1
-item	1	1
-items-or-less	1	1
-itus	1	1
-ity	1	1
-IV	2	2
-J-	2	1
-J	7	4
-Ja	1	1
-Jack	2	2
-Jake	8	2
-Jane	1	1
-Janet	10	2
-JD-	2	1
-Jesus	5	3
-jiga	1	1
-Jimmy	1	1
-jockey	1	1
-John	3	1
