ID,Name,Meaning
685,Ebronah,passage over; being angry
686,Ecclesiastes,a preacher
687,Ed,witness
688,Eden,pleasure; delight
689,Eder,a flock
690,Edom,"red, earthy; of blood"
691,Edrei,"a very great mass, or cloud"
692,Eglah,heifer; chariot; round
693,Eglaim,drops of the sea
694,Eglon,same as Eglah
695,Egypt,that troubles or oppresses; anguish
696,Ehud,he that praises
697,Eker,"barren, feeble"
698,Ekron,barrenness; torn away
699,Eladah,the eternity of God
700,Elah,an oak; a curse; perjury
701,Elam,a young man; a virgin; a secret
702,Elasah,the doings of God
703,Elath,a hind; strength; an oak
704,El-beth-el,the God of Bethel
705,Eldaah,knowledge of God
706,Eldad,favored of God; love of God
707,Elead,witness of God
708,Elealeh,burnt-offering of God
709,Eleazar,"help of God, court of God"
710,El-elohe-Israel,"God, the God of Israel"
711,Eleph,learning
712,Elhanan,"grace, or gift, or mercy of God"
713,Eli,the offering or lifting up
714,Eli,"Eli, my God, my God"
715,Eliab,God is my father; God is the father
716,Eliada,knowledge of God
717,Eliah,God the Lord
718,Eliahba,my God the Father
719,Eliakim,resurrection of God
720,Eliam,the people of God
721,Elias,same as Elijah
722,Eliasaph,the Lord increaseth
723,Eliashib,the God of conversion
724,Eliathah,thou art my God
725,Elidad,beloved of God
726,Eliel,"God, my God"
727,Elienai,the God of my eyes
728,Eliezer,"help, or court, of my God"
729,Elihoreph,"god of winter, or of youth"
730,Elihu,he is my God himself
731,Elijah,"God the Lord, the strong Lord"
732,Elika,pelican of God
733,Elim,the rams; the strong; stags
734,Elimelech,my God is king
735,Elioenai,toward him are mine eyes; or to him are my fountains
736,Eliphal,a miracle of God
737,Eliphalet,the God of deliverance
738,Eliphaz,the endeavor of God
739,Elisabeth,"Elizabeth, the oath, or fullness, of God"
740,Elisha,salvation of God
741,Elishah,it is God; the lamb of God: God that gives help
742,Elishama,God hearing
743,Elishaphat,my God judgeth
744,Elisheba,same as Elisabeth
745,Elishua,God is my salvation
746,Eliud,God is my praise
747,Elizur,God is my strength; my rock; rock of God
748,Elkanah,God the zealous; the zeal of God
749,Elkeshai,hardiness or rigor of God
750,Ellasar,revolting from God
751,Elkoshite,a man of Elkeshai
752,Elmodam,"the God of measure, or of the garment"
753,Elnaam,God's fairness
754,Elnathan,God hath given; the gift of God
755,Elohi,"Elohim, God"
756,Elon,oak; grove; strong
757,Elon-beth-hanan,the house of grace or mercy
758,Elpaal,God's work
759,Elpalet,same as Eliphalet
760,Eltekeh,of grace or mercy
761,Elteketh,the case of God
762,Eltolad,the generation of God
763,Elul,cry or outcry
764,Eluzai,God is my strength
765,Elymas,"a magician, a corrupter"
766,Elzabad,the dowry of God
767,Elzaphan,God of the northeast wind
768,Emims,fears; terrors; formidable; people
769,Emmanuel,God with us
770,Emmaus,people despised or obscure
771,Emmor,an ass
772,Enam,"fountain, open place"
773,Enan,cloud
774,En-dor,"fountain, eye of generation, or of habitation"
775,Eneas,laudable
776,En-eglaim,"eye, or fountain, of calves"
777,En-gannim,"eye, or fountain, of protection or of gardens"
778,En-gedi,"eye, or fountain, of the goat, or of happiness"
779,En-haddah,quick sight; well of gladness
780,En-hakkore,fountain of him that called or prayed
781,En-hazor,the grass of the well
782,En-mishpat,fountain of judgment
783,Enoch,dedicated; disciplined
784,Enon,cloud; mass of darkness; fountain; eye
785,Enos,mortal man; sick; despaired of; forgetful
786,En-rimmon,well of weight
787,En-rogel,the fuller's fountain; the well of searching
788,En-shemesh,"fountain, or eye, of the sun"
789,En-tappuah,"fountain of an apple, or of inflation"
790,Epaphras,covered with foam
791,Epaphroditus,agreeable; handsome
792,Epenetus,laudable; worthy of praise
793,Ephah,weary; tired
794,Epher,dust; lead
795,Ephes-dammim,effusion of blood
796,Ephesus,desirable
797,Eph-lal,judging; praying
798,Ephphatha,be opened
799,Ephraim,fruitful; increasing
800,Ephratah,"Ephrath, abundance; bearing fruit"
801,Ephron,dust
802,Epicurean,"follower of Epicurus, i.e., of one who gives assistance"
803,Er,watchman
804,Eran,follower
805,Erastus,"lovely, amiable"
806,Erech,length; health; physic
807,Eri,my city
808,Esaias,same as Isaiah
809,Esar-haddon,that closes the point; joy; cheerfulness
810,Esau,he that acts or finishes
811,Esek,contention
812,Esh-baal,"the fire of the idol, or of the ruler"
813,Esh-ban,fire of the sun
814,Eshcol,bunch of grapes
815,Eshean,held up
816,Eshek,"violence, force"
817,Eshkalon,same as Askelon
818,Eshtaol,a strong woman
819,Eshtemoa,the bosom of a woman
820,Esli,near me; he who separates
821,Esmachiah,joined to the Lord
822,Esrom,dart of joy; division of a song
823,Esther,secret; hidden
824,Etam,"their bird, their covering"
825,Etham,their strength; their sign
826,Ethan,strong; the gift of the island
827,Ethanim,strong; valiant
828,Ethbaal,"toward the idol, or with Baal"
829,Ether,talk
830,Ethiopia,blackness; heat
831,Ethnan,gift
832,Ethni,strong
833,Eubulus,prudent; good counselor
834,Eunice,good victory
835,Euodias,sweet scent
836,Euphrates,that makes fruitful
837,Eutychus,happy; fortunate
838,Eve,living; enlivening
839,Evi,unjust
840,Evil-merodach,the fool of Merodach; the fool grinds bitterly
841,Exodus,"going out, departure"
842,Ezbon,hastening to understand
843,Ezekiel,the strength of God
844,Ezel,going abroad; walk
845,Ezem,a bone
846,Ezer,a help
847,Ezion-geber,the wood of the man
848,Ezra,help; court
849,Ezri,my help
