ID,Name,Meaning
2383,Taanach,who humbles thee; who answers thee
2384,Taanach-shilo,breaking down a fig-tree
2385,Tabbath,good; goodness
2386,Tabeal,"Tabeel, good God"
2387,Taberah,burning
2388,Tabitha,clear-sighted; a roe-deer
2389,Tabor,choice; purity; bruising
2390,Tabrimon,good pomegranate; the navel; the middle
2391,Tadmor,the palm-tree; bitterness
2392,Tahan,beseeching; merciful
2393,Tahapenes,secret temptation
2394,Tahath,fear; going down
2395,Tahpenes,standard; flight; temptation
2396,Tahrea,anger; wicked contention
2397,Talitha-cumi,"young woman, arise"
2398,Talmai,my furrow; that suspends the waters; heap of waters
2399,Tamah,blotting or wiping out; smiting
2400,Tamar,palm; palm-tree
2401,Tammuz,abstruse; concealed; consumed
2402,Tanach,same as Taanach
2403,Tanhumeth,consolation; repentance
2404,Taphath,distillation; drop
2405,Tappuah,apple; swelling
2406,Tarah,a hair; a wretch; one banished
2407,Taralah,"searching out slander, or strength"
2408,Tarea,howling; doing evil
2409,Tarpelites,ravishers; succession of miracles
2410,Tarshish,contemplation; examination
2411,Tarsus,winged; feathered
2412,Tartak,chained; bound; shut up
2413,Tartan,a general (official title)
2414,Tatnai,that gives; the overseer of the gifts and tributes
2415,Tebah,murder; butchery; guarding of the body; a cook
2416,Tebaliah,"baptism, or goodness, of the Lord"
2417,Tebeth,"good, goodness (the tenth month of the Hebrews)"
2418,Tehinnah,entreaty; a favor
2419,Tekel,weight
2420,Tekoa,trumpet; that is confirmed
2421,Telabib,a heap of new grain
2422,Telah,moistening; greenness
2423,Telassar,taking away; heaping up
2424,Telem,their dew; their shadow
2425,Telharsa,suspension of the plow
2426,Tel-melah,heap of salt
2427,Tema,admiration; perfection; consummation
2428,Teman,"Temani, the south; Africa; perfect"
2429,Terah,to breathe; scent; blow
2430,Teraphim,images; idols
2431,Tertius,third
2432,Tertullus,third
2433,Tetrarch,governor of a fourth part
2434,Thaddeus,that praises or confesses
2435,Thahash,that makes haste; that keeps silence
2436,Thamah,that blots out; that suppresses
2437,Tharah,same as Terah
2438,Thebez,muddy; eggs; fine linen or silk
2439,Thelasar,same as Telassar
2440,Theophilus,friend of God
2441,Thessalonica,victory against the Thessalians
2442,Theudas,flowing with water
2443,Thomas,a twin
2444,Thummim,perfection; truth
2445,Thyatira,a perfume; sacrifice of labor
2446,Tibbath,killing; a cook
2447,Tiberias,good vision; the navel
2448,Tiberius,the son of Tiber
2449,Tibni,straw; hay
2450,Tidal,that breaks the yoke; knowledge of elevation
2451,Tiglath-pileser,that binds or takes away captivity
2452,Tikvah,hope; a little line; congregation
2453,Tilon,murmuring
2454,Timeus,perfect; admirable; honorable
2455,Timnah,forbidding
2456,Timnath,image; figure; enumeration
2457,Timnath-heres,"or Timnath-serah, image of the sun; numbering of the rest"
2458,Timon,honorable; worthy
2459,Timotheus,honor of God; valued of God
2460,Tiphsah,passage; leap; step; the passover
2461,Tirhakah,inquirer; examiner; dull observer
2462,Tiria,searching out
2463,Tirshatha,a governor
2464,Tirzah,benevolent; complaisant; pleasing
2465,Tishbite,that makes captive
2466,Titus,pleasing
2467,Toah,weapon; dart
2468,Tob,good; goodness
2469,Tob-adonijah,my good God; the goodness of the foundation of the Lord
2470,Tobiah,"Tobijah, the Lord is good"
2471,Tochen,middle
2472,Togarmah,which is all bone
2473,Tohu,that lives; that declares
2474,Toi,who wanders
2475,Tola,worm; grub; scarlet
2476,Tolad,a generation
2477,Tophel,ruin; folly; without understanding
2478,Tophet,a drum; betraying
2479,Trachonitis,stony
2480,Troas,penetrated
2481,Trophimus,well educated; well brought up
2482,Tryphena,delicious; delicate
2483,Tryphon,masculine of Tryphena
2484,Tryphosa,thrice shining
2485,Tubal,the earth; the world; confusion
2486,Tubal-cain,worldly possession; possessed of confusion
2487,Tychicus,casual; by chance
2488,Tyrannus,a prince; one that reigns
2489,Tyre,"Tyrus, strength; rock; sharp"
2490,Ucal,"power, prevalency"
2491,Uel,desiring God
2492,Ulai,strength; fool; senseless
2493,Ulam,the porch; the court; their strength; their folly
2494,Ulla,elevation; leaf; young child
2495,Ummah,darkened; covered; his people
2496,Unni,poor; afflicted; that answers
2497,Uphaz,pure gold; gold of Phasis or Pison
2498,Upharsin,divided
2499,Ur,"fire, light, a valley"
2500,Urbane,courteous
2501,Uri,"my light, my fire"
2502,Uriah,"or Urijah, the Lord is my light or fire"
2503,Uriel,same as Uriah
2504,Urim,lights; fires
2505,Uthai,my iniquity
2506,Uz,counsel; words
2507,Uzai,he
2508,Uzal,wandering
2509,Uzzah,strength; goat
2510,Uzzen-sherah,ear of the flesh
2511,Uzzi,my strength; my kid
2512,Uzziah,"Uzziel, the strength, or kid, of the Lord"
2513,Vajezatha,sprinkling the chamber
2514,Vaniah,"nourishment, or weapons, of the Lord"
2515,Vashni,the second; changed; a tooth
2516,Vashti,that drinks; thread
2517,Vophsi,fragrant; diminution
2518,Zaanannim,movings; a person asleep
2519,Zaavan,trembling
2520,Zabad,dowry; endowed
2521,Zabbai,flowing
2522,Zabdi,same as Zabad
2523,Zaccai,pure meat; just
2524,Zaccheus,pure; clean; just
2525,Zaccur,of the male kind; mindful
2526,Zachariah,memory of the Lord
2527,Zadok,just; justified
2528,Zaham,crime; filthiness; impurity
2529,Zair,little; afflicted; in tribulation
2530,Zalaph,shadow; ringing; shaking
2531,Zalmon,his shade; his image
2532,Zalmonah,the shade; the sound of the number; his image
2533,Zalmunna,shadow; image; idol forbidden
2534,Zamzummims,projects of crimes; enormous crimes
2535,Zanoah,forgetfulness; desertion
2536,Zaphnath-paaneah,one who discovers hidden things
2537,Zarah,east; brightness
2538,Zareah,leprosy; hornet
2539,Zared,strange descent
2540,Zarephath,ambush of the mouth
2541,Zaretan,tribulation; perplexity
2542,Zatthu,olive tree
2543,Zaza,belonging to all
2544,Zebadiah,portion of the Lord; the Lord is my portion
2545,Zebah,victim; sacrifice
2546,Zebedee,abundant; portion
2547,Zebina,flowing now; selling; buying
2548,Zeboiim,deer; goats
2549,Zebudah,endowed; endowing
2550,Zebul,a habitation
2551,Zebulun,"Zebulon, dwelling; habitation"
2552,Zechariah,same as Zachariah
2553,Zedad,his side; his hunting
2554,Zedekiah,the Lord is my justice; the justice of the Lord
2555,Zeeb,wolf
2556,Zelah,rib; side; halting
2557,Zelek,the shadow or noise of him that licks or laps
2558,Zelophehad,the shade or tingling of fear
2559,Zelotes,zealous
2560,Zelzah,noontide
2561,Zemaraim,wool; pith
2562,Zemira,song; vine; palm
2563,Zenan,coldness; target; weapon
2564,Zenas,living
2565,Zephaniah,the Lord is my secret
2566,Zephath,which beholds; that attends or that covers
2567,Zepho,"Zephon, that sees and observes; that expects or covers"
2568,Zer,perplexity
2569,Zerah,same as Zarah
2570,Zerahiah,the Lord rising; brightness of the Lord
2571,Zeredah,ambush; change of dominion
2572,Zeresh,misery; strange; dispersed inheritance
2573,Zereth,same as Zer
2574,Zeror,root; that straitens or binds; that keeps tight
2575,Zeruah,leprous; wasp; hornet
2576,Zerubbabel,a stranger at Babylon; dispersion of confusion
2577,Zeruiah,pain or tribulation of the Lord
2578,Zethar,he that examines or beholds
2579,Zia,sweat; swelling
2580,Ziba,army; fight; strength
2581,Zibeon,iniquity that dwells
2582,Zibiah,the Lord dwells; deer; goat
2583,Zichri,that remembers; that is a man
2584,Ziddim,huntings; treasons; destructions
2585,Zidkijah,justice of the Lord
2586,Zidon,hunting; fishing; venison
2587,Zif,this or that; brightness; comeliness
2588,Ziha,brightness; whiteness; drought
2589,Ziklag,measure pressed down
2590,Zillah,shadow; the tingling of the ear
2591,Zilpah,distillation from the mouth
2592,Zilthai,my shadow; my talk
2593,Zimmah,thought; wickedness
2594,Zimran,song; singer; vine
2595,Zimzi,my field; my vine
2596,Zin,buckler; coldness
2597,Zina,shining; going back
2598,Zion,monument; raised up; sepulcher
2599,Zior,ship of him that watches
2600,Ziph,this mouth or mouthful; falsehood
2601,Ziphron,falsehood of a song; rejoicing
2602,Zippor,bird; sparrow; crown; desert
2603,Zipporah,beauty; trumpet; mourning
2604,Zithri,to hide; demolished
2605,Ziz,flower; branch; a lock of hair
2606,Ziza,same as Zina
2607,Zoan,motion
2608,Zoar,little; small
2609,Zobah,"Zobebah, an army; warring"
2610,Zohar,white; bright; dryness
2611,Zoheleth,"that creeps, slides, or draws"
2612,Zoheth,separation; amazing
2613,Zophah,viol; honeycomb
2614,Zophar,rising early; crown
2615,Zophim,place for a watchman
2616,Zorah,leprosy; scab; hornet
2617,Zorobabel,same as Zerubbabel
2618,Zuar,same as Zoar
2619,Zuph,"that beholds, observes, watches; roof; covering"
2620,Zur,stone; rock; that besieges
2621,Zuriel,rock or strength of God
2622,Zurishaddai,the Almighty is my rock and strength
2623,Zuzims,the posts of a door; splendor; beauty
