id,name,sex,source,weight
700,Emeka,F,SS,55
701,Emersynn,F,SS,56
702,Idesha,F,SS,55
703,Danavia,F,SS,18
704,Dashyra,F,SS,13
705,Aryelle,F,SS,798
706,Autavia,F,SS,14
707,Alisha,F,SS,149436
708,Cheveyo,M,SS,149
709,Clemencia,F,SS,1841
710,Aalijah,M,SS,287
711,Mergeron,M,SS,14
712,Shariff,M,SS,1570
713,Sathya,M,SS,93
714,Tresa,F,SS,15603
715,Yaireth,F,SS,55
716,Sheza,F,SS,240
717,Mclaine,F,SS,13
718,Sieria,F,SS,13
719,Pharaoh,M,SS,815
720,Phoung,F,SS,13
721,Raleen,F,SS,12
722,Odyssey,F,SS,1012
723,Shalayne,F,SS,176
724,Kashe,M,SS,53
725,Lyncoln,M,SS,144
726,Khrissa,F,SS,14
727,Dewuan,M,SS,18
728,Dexiree,F,SS,26
729,Diamonte,F,SS,86
730,Kene,M,SS,83
731,Keori,F,SS,13
732,Kweisi,M,SS,134
733,Jazzalynn,F,SS,132
734,Kameo,F,SS,316
735,Karlin,F,SS,1119
736,Jessimar,F,SS,13
737,Jisiah,M,SS,29
738,Jaretsy,F,SS,54
739,Foyster,M,SS,21
740,Arine,F,SS,387
741,Kendrel,M,SS,13
742,Aizlee,F,SS,17
743,Alainey,F,SS,42
744,Iaan,M,SS,62
745,Ilian,F,SS,93
746,Jahmez,M,SS,144
747,Alekai,M,SS,18
748,Artrina,F,SS,37
749,Asie,M,SS,158
750,Cabella,F,SS,126
751,Clarissa,F,SS,119071
752,Claudel,M,SS,107
753,Dregan,M,SS,55
754,Tyrone,M,SS,217333
755,Yaritzza,F,SS,13
756,Selenamarie,F,SS,16
757,Shetal,F,SS,20
758,Taleiyah,F,SS,72
759,Tommia,F,SS,101
760,Renarta,F,SS,26
761,Ricky,F,SS,5121
762,Shalanta,F,SS,14
763,Sareena,F,SS,1124
764,Twisha,F,SS,61
765,Rayli,F,SS,120
766,Diony,M,SS,64
767,Navy,M,SS,134
768,Marsi,F,SS,344
769,Norretta,F,SS,23
770,Orie,M,SS,12436
771,Lessa,F,SS,398
772,Limuel,M,SS,464
773,Madaleno,M,SS,16
774,Magali,M,SS,15
775,Kevan,F,SS,124
776,Kotaro,M,SS,351
777,Kayliyah,F,SS,40
778,Keidi,F,SS,36
779,Lalo,M,SS,1666
780,Jerianna,F,SS,15
781,Kamal,F,SS,72
782,Kanija,F,SS,282
783,Inesha,F,SS,299
784,Iseral,M,SS,24
785,Juanye,M,SS,153
786,Kaelie,F,SS,1553
787,Deiara,F,SS,13
788,Delance,M,SS,263
789,Cebrina,F,SS,83
790,Chance,F,SS,2657
791,Cherelle,F,SS,4537
792,Jamiesha,F,SS,324
793,Jasyia,F,SS,28
794,Famie,F,SS,478
795,Davit,M,SS,302
796,Dystiny,F,SS,157
797,Elaheh,F,SS,14
798,Aleaya,F,SS,228
799,Jion,M,SS,30
800,Catelyn,F,SS,5111
801,Aariz,M,SS,572
802,Addelynne,F,SS,31
803,Ahmaud,M,SS,405
804,Akeira,F,SS,503
805,Ellianna,F,SS,3499
806,Emersyn,M,SS,17
807,Atrick,M,SS,39
808,Aubrin,F,SS,29
809,Algia,F,SS,305
810,Anayansi,F,SS,104
811,Brender,F,SS,60
812,Brinisha,F,SS,42
813,Mhina,F,SS,13
814,Tavyon,M,SS,82
815,Teyler,F,SS,49
816,Tilia,F,SS,98
817,Statler,M,SS,30
818,Shaquila,F,SS,1098
819,Tuesdee,F,SS,40
820,Wrigley,F,SS,247
821,Senequa,F,SS,76
822,Zoey,M,SS,395
823,Nahlani,F,SS,18
824,Pauline,F,SS,1550855
825,Placida,F,SS,1063
826,Ramson,M,SS,13
827,Odet,F,SS,19
828,Tmara,F,SS,27
829,Linwood,F,SS,22
830,Lital,F,SS,29
831,Kitara,F,SS,344
832,Koey,F,SS,31
833,Derinda,F,SS,1185
834,Deryn,F,SS,411
835,Delcia,F,SS,1076
836,Hilyard,M,SS,24
837,Kylea,F,SS,3512
838,Marchella,M,SS,40
839,Mosese,M,SS,87
840,Kamaury,F,SS,13
841,Ceslie,F,SS,126
842,Jarelyn,F,SS,126
843,Estel,F,SS,3778
844,Iniki,M,SS,18
845,Juliea,F,SS,108
846,Arka,M,SS,29
847,Aedan,F,SS,110
848,Esiah,M,SS,274
849,Jadn,M,SS,18
850,Dvontae,M,SS,257
851,Aleksa,M,SS,120
852,Caronda,F,SS,161
853,Calliope,F,SS,1798
854,Daenna,F,SS,16
855,Clela,F,SS,2212
856,Doren,F,SS,91
857,Abby,F,SS,149330
858,Abdulah,M,SS,201
859,Arvester,M,SS,71
860,Aliyah,F,SS,66652
861,Aminat,F,SS,199
862,Brayen,M,SS,240
863,Brekyn,M,SS,64
864,Brijido,M,SS,51
865,Xzarion,M,SS,16
866,Yadira,F,SS,32121
867,Zaheer,M,SS,304
868,Tianyi,M,SS,14
869,Qadira,F,SS,122
870,Rosine,F,SS,2301
871,Malee,F,SS,615
872,Tyyana,F,SS,78
873,Uganda,M,SS,39
874,Valerya,F,SS,242
875,Magdiel,F,SS,56
876,Koya,F,SS,210
877,Devanny,F,SS,274
878,Dmiyah,F,SS,98
879,Nakisa,F,SS,77
880,Mariapaz,F,SS,26
881,Hoor,F,SS,36
882,Kathelene,F,SS,642
883,Leilani,F,SS,54756
884,Matthews,M,SS,5427
885,Madelin,F,SS,7266
886,Madhumitha,F,SS,77
887,Charina,F,SS,310
888,Jamesandrew,M,SS,57
889,Jamil,F,SS,723
890,Jossue,M,SS,1530
891,Ka,F,SS,2127
892,Dedria,F,SS,1216
893,Airyn,M,SS,14
894,Enez,F,SS,468
895,Enma,F,SS,200
896,Jadon,F,SS,441
897,Greycen,M,SS,14
898,Cesario,M,SS,3292
899,Brunette,F,SS,624
900,Cahlin,F,SS,14
901,Camyrn,F,SS,81
902,Coty,M,SS,14332
903,Adisynn,F,SS,109
904,Agnella,F,SS,59
905,Aliceson,F,SS,546
906,Alympia,F,SS,14
907,Cruise,M,SS,580
908,Copeland,F,SS,52
909,Abigaile,F,SS,1314
910,Adlie,F,SS,13
911,Vernia,F,SS,8721
912,Vertie,M,SS,22
913,Ziarre,F,SS,13
914,Maneesha,F,SS,14
915,Schuylar,F,SS,75
916,Vu,M,SS,2083
917,Whittni,F,SS,140
918,Ulrich,M,SS,1044
919,Zachary,M,SS,1353134
920,Oleatha,F,SS,217
921,Stefana,F,SS,215
922,Sueann,F,SS,6231
923,Donavyn,M,SS,1134
924,Shalonda,F,SS,13605
925,Shanza,F,SS,65
926,Madiha,F,SS,638
927,Maide,F,SS,13
928,Nalah,F,SS,561
929,Maribell,F,SS,1420
930,Shyasia,F,SS,580
931,Plummer,M,SS,3713
932,Jazarion,M,SS,92
933,Jeania,F,SS,1054
934,Jeovanni,M,SS,836
935,Lesslie,M,SS,590
936,Garvens,M,SS,14
937,Maalik,M,SS,1053
938,Annil,F,SS,26
939,Deitrick,M,SS,266
940,Kein,M,SS,177
941,Kenna,M,SS,518
942,Kennya,F,SS,1211
943,Kylealexander,M,SS,13
944,Jamarris,M,SS,14
945,Jariya,F,SS,373
946,Jasera,F,SS,13
947,Ethelbert,F,SS,22
948,Eubert,M,SS,59
949,Fionnuala,F,SS,200
950,Deamonte,M,SS,401
951,Durante,M,SS,285
952,Jimika,F,SS,61
953,Jizelle,F,SS,1790
954,Chene,M,SS,29
955,Jamariona,F,SS,67
956,Baraa,F,SS,46
957,Ameelah,F,SS,16
958,Amirr,M,SS,87
959,Benjaman,M,SS,14785
960,Bernadette,M,SS,171
961,Chritine,F,SS,22
